nombre,latitud,longitud,comuna,fecha apertura,operativo
Arenal,-17.15562623,-72.95433214,Porvenir,20-04-2013,1
Suncor EnergyInc.,-53.43772961,-72.02622649,Freirina,18-09-1983,1
Elkhorn Commodity Rotation Strategy ETF,-23.69506956,-69.47807235,Iquique,02-08-1989,1
La Patagua,-23.56366992,-72.74754506,Juan Fernández,07-11-1990,1
Terreno Realty Corporation,-51.05668234,-69.94491088,Colchane,26-11-1995,1
"CenterPoint Energy, Inc.",-27.46471657,-71.45300923,Mejillones,08-06-1982,1
Enel Generacion Chile S.A.,-29.99809319,-73.58981351,Quintero,20-10-1957,1
"Edge Therapeutics, Inc.",-42.71445035,-70.47732534,Mejillones,31-03-1967,1
"Under Armour, Inc.",-37.56572452,-72.73158473,Caldera,25-05-2007,1
El Volcán,-30.31364111,-73.4247602,Isla de Maipo,24-03-1960,1
El Soldado,-21.53551614,-72.07976852,Quilpué,16-04-2004,1
KT Corporation,-17.99072303,-73.16470936,Talagante,12-02-1956,1
ACF - Lagunas,-33.13604943,-69.34122626,Huara,05-09-1957,1
"First Hawaiian, Inc.",-37.35857076,-71.31032115,Caldera,11-10-1987,1
Randgold Resources Limited,-48.17720516,-73.38634755,El Monte,30-10-1971,1
III de Atacama Minerals - Aguas Blancas,-47.31394603,-71.23903468,Sierra Gorda,19-11-1998,1
Urstadt Biddle Properties Inc.,-47.18797047,-73.54860045,Contulmo,16-07-1994,1
Chimberos,-19.29980419,-70.51275141,Chañaral,01-01-2016,1
"JA Solar Holdings, Co., Ltd.",-38.70897824,-69.63632309,Caldera,05-10-2017,1
CMP - Algarrobo,-30.07242537,-71.8258599,Alto del Carmen,30-05-1995,1
"Idera Pharmaceuticals, Inc.",-23.89837221,-68.22308586,Pica,07-01-2008,1
Montecristo,-42.76191411,-71.15455864,Antofagasta,08-06-1961,1
Special Opportunities Fund Inc.,-22.69430514,-71.58466488,Quilpué,09-09-1968,1
AGCO Corporation,-51.31250495,-72.09715256,Copiapó,23-04-1963,1
Lenga,-19.85382799,-74.1091388,Natales,14-07-1980,1
Julia,-30.42536025,-70.20419998,María Elena,23-04-1966,1
"NextEra Energy, Inc.",-29.20278204,-73.96821118,Yumbel,06-04-1971,1
"Diamond Hill Investment Group, Inc.",-49.85799239,-72.76516535,Laguna Blanca,25-04-1999,1
Jazz Pharmaceuticals plc,-23.34368456,-71.94105884,Punitaqui,08-12-2004,1
Laguna Siren,-24.11799631,-69.35044973,Iquique,30-04-1986,1
"Universal Stainless & Alloy Products, Inc.",-47.36444382,-73.38158073,Cañete,22-01-1958,1
Alhué,-41.28151908,-72.89936633,Padre Hurtado,27-04-1977,1
United Insurance Holdings Corp.,-23.96324697,-68.69023905,Iquique,18-10-2011,1
Chuquicamata,-29.63681473,-69.07867499,Taltal,21-12-1963,1
Maganeso III de Atacama,-32.76774456,-72.94945547,Los Vilos,28-02-1954,1
SCL Chemetall,-47.20950153,-70.76035423,María Elena,15-08-1964,1
Galectin Therapeutics Inc.,-54.87199607,-70.54691361,Taltal,01-03-2017,1
Yelp Inc.,-43.11047715,-70.03352768,Pica,24-06-1977,1
China Mobile (Hong Kong) Ltd.,-32.31321107,-69.75707645,Calama,21-06-1976,1
Pirquitas,-38.73928048,-69.3541644,Arica,06-04-2000,1
Collahuasi,-43.76417517,-69.46927861,Pica,22-08-2003,1
Central Garden & Pet Company,-33.00192116,-73.80536773,Los Vilos,27-10-1962,1
Faride,-30.49406062,-70.09795413,Taltal,07-06-1997,1
María Elisa,-46.67054079,-72.97304111,Contulmo,03-03-1997,1
HollyFrontier Corporation,-39.14820194,-72.40334635,Paiguano,22-11-1983,1
"Recon Technology, Ltd.",-41.59030839,-69.17650406,Antofagasta,09-11-1952,1
JM Global Holding Company,-46.43036646,-71.41331194,Calama,13-02-1957,1
Del Fierro,-46.58411776,-73.65920956,Cañete,01-08-2003,1
"Hub Group, Inc.",-41.73703364,-71.12153259,Mejillones,02-08-1994,1
Manantial,-45.37989704,-69.54898275,Camarones,17-11-1957,1
Credit Acceptance Corporation,-31.38911698,-69.24544403,Taltal,02-06-1965,1
Nuveen AMT-Free Municipal Value Fund,-22.33954425,-71.6613863,Huasco,18-11-2004,1
"Mirna Therapeutics, Inc.",-34.44832831,-73.48296944,Timaukel,23-07-1978,1
"Kura Oncology, Inc.",-25.22791263,-71.84278768,Codegua,26-12-1956,1
First Trust Senior Loan Fund ETF,-45.77912208,-70.46570244,Camarones,13-07-1986,1
"Ulta Beauty, Inc.",-24.78193519,-69.05397424,Pica,04-09-1985,1
Comcast Corporation,-23.3210794,-69.03344193,Pica,21-01-1999,1
Los Pelambres,-42.32243113,-71.80459968,Monte Patria,19-04-1972,1
Algorta,-53.10318907,-70.05907216,Antofagasta,07-10-1959,1
AbbVie Inc.,-47.65017997,-69.83986866,Colchane,24-01-2009,1
Virco Manufacturing Corporation,-54.88657627,-69.5041496,Alto Hospicio,19-12-1998,1
Mantos de la Luna,-42.82090275,-69.76150537,San Pedro de Atacama,04-12-1999,1
"Fiserv, Inc.",-45.07676689,-71.8082965,Diego de Almagro,17-05-1972,1
Quiborax - Ascotán,-23.13717068,-69.95653874,Antofagasta,29-02-2008,1
CMP - El Laco,-42.8435721,-71.19728748,Mejillones,29-11-2018,1
Tata Motors Ltd,-28.2179559,-71.50560249,Mejillones,14-10-1991,1
Eaton Vance Corporation,-47.85400498,-71.1090181,Sierra Gorda,18-02-2005,1
Peabody Energy Corporation,-48.88509748,-69.13073419,Camiña,16-07-2017,1
Vanguard Russell 3000 ETF,-49.69909901,-72.85156322,San Pedro,06-12-1994,1
Voya Global Equity Dividend and Premium Opportunity Fund,-24.66738408,-73.18711546,Villa Alemana,14-06-1973,1
First Trust International Multi-Asset Diversified Income Index,-18.4703499,-68.72721423,Tocopilla,11-12-1994,1
First Trust Nasdaq Retail ETF,-34.24063231,-72.60813666,Coquimbo,02-03-1966,1
Orbotech Ltd.,-27.31596891,-70.96487997,Diego de Almagro,10-03-1959,1
La Perla,-49.53720632,-72.44283924,San Pedro,08-11-1992,1
iShares MSCI EM ESG Optimized ETF,-50.41748466,-71.36958532,Alto del Carmen,06-03-1981,1
PowerShares Golden Dragon China Portfolio,-28.8698376,-74.6328144,Yumbel,20-09-2010,1
"Texas Capital Bancshares, Inc.",-18.13731948,-73.45570689,Santa Bárbara,11-06-1964,1
Mantos Blancos,-46.1401754,-70.39165648,Ollagüe,13-09-2016,1
Choquelimpie,-37.96750025,-69.52267617,Arica,24-09-1985,1
Novelion Therapeutics Inc.,-24.66135957,-71.79570962,Vallenar,01-11-2000,1
Double Eagle Acquisition Corp.,-45.70169924,-72.52887097,Diego de Almagro,16-11-2005,1
Celgene Corporation,-32.02967643,-72.26932097,Tierra Amarilla,25-10-2014,1
El Tesoro,-34.62424827,-70.77212716,María Elena,27-09-1959,1
Altamira,-53.0118099,-70.74491312,Ollagüe,20-09-1952,1
El Salvador,-26.95566592,-70.62948214,Copiapó,30-11-2011,1
Container Store (The),-34.06870467,-69.2587778,Sierra Gorda,04-09-1997,1
Royal Caribbean Cruises Ltd.,-41.36405867,-72.88275487,Padre Hurtado,10-10-2018,1
Sierra Miranda,-17.05555729,-71.25546485,Taltal,17-07-1980,1
El Morro,-23.74250416,-72.5780991,Vallenar,18-11-1988,1
Pucobre,-41.80840469,-70.92042281,Alto del Carmen,31-12-1966,1
Corporate Asset Backed Corp CABCO,-47.20766107,-69.38848421,Colchane,02-02-1973,1
"SeaChange International, Inc.",-20.8146013,-73.43119955,Natales,29-01-1953,1
Entercom Communications Corporation,-43.90538222,-67.93186104,Alto Hospicio,22-06-2006,1
La Marcelina,-45.04730088,-68.6226631,General Lagos,27-05-1955,1
Gabriela Mistral,-31.31565918,-70.12268731,Calama,09-10-2006,1
Arch Capital Group Ltd.,-31.03868479,-69.42270489,Ollagüe,01-05-1980,1
Antucoya,-34.8080603,-69.73821998,Sierra Gorda,09-09-1961,1
Carola,-22.41636966,-72.69038964,Huasco,29-11-1976,1
PowerShares KBW High Dividend Yield Financial Portfolio,-35.14139984,-72.35758798,Illapel,07-07-2003,1
Spence,-46.48103337,-70.46400352,Calama,03-01-1989,1
Cerro Blanco,-24.54405253,-72.11803136,Curacaví,24-02-1953,1
Haldeman - Sagasca,-17.88031716,-70.02811716,Pozo Almonte,23-06-1977,1
Victoria,-48.80221815,-72.95778926,Alto Biobío,12-10-2014,1
L.B. Foster Company,-38.82480482,-71.58608915,Diego de Almagro,09-05-1992,1
Regal Entertainment Group,-46.71477133,-71.79620512,Ollagüe,20-08-2004,1
Celite - Tana,-23.66594089,-68.43100801,Iquique,11-06-1997,1
iPath US Treasury Long Bond Bear ETN,-40.35185122,-72.80959953,Casablanca,31-08-2009,1
Cambrex Corporation,-47.12542695,-72.06503108,Sierra Gorda,15-12-1960,1
Pure Cycle Corporation,-37.14424689,-72.54907999,Cabo de Hornos,19-05-1991,1
Ojos del Salado,-27.35831322,-72.08958712,Chañaral,12-12-1997,1
Caupolicán,-34.53425139,-74.13740142,Timaukel,26-04-1961,1
EPR Properties,-43.18864931,-70.99239316,Pica,11-05-1960,1
First Trust Emerging Markets Small Cap AlphaDEX Fund,-30.53557678,-71.02260317,Alto del Carmen,22-09-2003,1
Aircastle Limited,-46.56347763,-68.72332298,General Lagos,24-05-2013,1
Esperanza,-45.38971199,-69.86726192,Mejillones,20-12-1979,1
BLDRS Asia 50 ADR Index Fund,-31.16445081,-68.37160087,Huara,09-01-2018,1
Western Asset Bond Fund,-26.74654065,-70.42299346,Chañaral,18-03-2001,1
Forum Merger Corporation,-32.94742502,-73.76307958,Rancagua,29-06-1957,1
Nuveen Michigan Quality Municipal Income Fund,-50.09388595,-68.48847426,Pozo Almonte,04-12-1982,1
"Discovery Communications, Inc.",-53.65404297,-73.26718516,Tucapel,30-01-1985,1
Drive Shack Inc.,-51.33607506,-71.89800211,La Higuera,23-11-1952,1
"Mid-America Apartment Communities, Inc.",-53.8656465,-72.79450762,Tucapel,18-12-1974,1
STMicroelectronics N.V.,-43.90888808,-74.4424349,San Rosendo,02-12-1982,1
RenaissanceRe Holdings Ltd.,-24.07761632,-73.52356648,Juan Fernández,24-06-1968,1
"LTC Properties, Inc.",-51.29783946,-71.50237003,Freirina,16-06-2018,1
El Guindo,-50.43770014,-73.62178091,Alhué,29-09-1975,1
Cerro Bayo,-21.72358876,-73.86217581,Río Ibáñez,05-11-2016,1
Kite Realty Group Trust,-46.95808708,-71.09731439,María Elena,29-04-2014,1
"XO Group, Inc.",-24.92641372,-72.63476081,Río Verde,22-01-2014,1
SQM Salar,-41.90476211,-71.40707744,Tocopilla,16-06-2002,1
El Abra,-49.12840071,-69.06715874,Mejillones,25-10-1970,1
"Destination XL Group, Inc.",-51.84366508,-71.45974926,Copiapó,27-11-1982,1
Escondida,-40.25595432,-71.1296847,San Pedro de Atacama,13-08-2018,1
BLDRS Developed Markets 100 ADR Index Fund,-18.96674942,-72.66627876,Chile Chico,29-06-1978,1
Navío,-29.02393516,-73.58812257,Quintero,07-07-1957,1
"Franklin Financial Network, Inc.",-36.83268638,-71.12683534,Sierra Gorda,13-10-1984,1
Cóndor,-45.93308769,-70.27512236,Putre,16-12-1987,1
Punta de Lobos - Kanita,-48.7080749,-69.02837929,Camiña,24-08-1978,1
Kamada Ltd.,-26.85917867,-71.27095578,Chañaral,05-05-1998,1
Marte Lobo,-50.73155899,-71.52095482,Copiapó,26-06-2010,1
El Toqui,-18.89524832,-73.6547943,Chile Chico,20-02-1961,1
Cowen Inc.,-26.50692326,-69.23982757,Copiapó,26-11-2000,1
"Nutanix, Inc.",-22.75120305,-73.71128663,Río Ibáñez,03-08-1954,1
Janus Henderson Small Cap Growth Alpha ETF,-18.6558614,-70.75718455,Calama,02-12-1981,1
Chimborazo,-50.34084038,-69.96995666,Ollagüe,07-04-2001,1
Cerro Casale,-54.05804052,-72.16371161,Copiapó,27-06-1984,1
China Cord Blood Corporation,-24.55756186,-74.09087615,Los Álamos,20-10-1968,1
Novanta Inc.,-18.25662271,-69.48914967,Pozo Almonte,15-08-1958,1
CMP - Los Colorados,-29.8906932,-72.36810449,Chañaral,21-08-2015,1
U.S. Energy Corp.,-37.23816728,-74.43611003,Río Bueno,05-02-2001,1
NVIDIA Corporation,-42.58984705,-71.93645833,Tirúa,11-01-1996,1
"Argos Therapeutics, Inc.",-36.43390516,-69.29986234,Calama,16-07-1990,1
Guaranty Bancorp,-45.75448464,-70.64443925,Putre,31-05-1964,1
Inseego Corp.,-41.18509248,-70.8563711,Alto del Carmen,26-07-1990,1
Peapack-Gladstone Financial Corporation,-28.16579053,-74.53948987,San Gregorio,07-07-1957,1
"German American Bancorp, Inc.",-34.82987584,-72.10349722,Coquimbo,06-01-1989,1
La Picarda,-46.7411032,-70.00575467,Camiña,05-04-2013,1
"Apple Hospitality REIT, Inc.",-52.81944746,-70.19279546,Antofagasta,26-02-1951,1
"TC PipeLines, LP",-23.32492091,-68.26543116,Iquique,04-02-1951,1
"Nustar GP Holdings, LLC",-20.46904993,-74.09165819,María Pinto,28-12-1982,1
Cosayach - Cala Cala,-44.6798846,-68.82300689,Alto Hospicio,28-03-2014,1
Georgia Power Company,-42.73855109,-70.85971668,Tocopilla,13-06-1984,1
PowerShares BuyBack Achievers Portfolio,-31.74765126,-73.25186772,Río Hurtado,29-02-1984,1
Costamare Inc.,-46.42174025,-74.18435217,Cañete,13-09-1969,1
Gilat Satellite Networks Ltd.,-45.78367424,-75.38032149,Antártica,11-05-1955,1
The9 Limited,-55.54343624,-69.83053791,Alto Hospicio,20-11-1961,1
"Taiwan Fund, Inc. (The)",-48.08224171,-73.04903485,Contulmo,08-12-2002,1
Entegra Financial Corp.,-40.87226832,-72.21115048,Monte Patria,01-09-1976,1
Torchmark Corporation,-29.97956124,-71.96526653,Alto del Carmen,07-06-1963,1
SAP SE,-24.59414909,-72.68571232,Juan Fernández,21-03-2003,1
"Appliance Recycling Centers of America, Inc.",-52.80292319,-69.87682299,Ollagüe,25-03-1980,1
Punitaqui,-43.21815285,-73.07526943,Ovalle,29-02-1976,1
Schwager,-45.39717876,-73.82516204,San Rosendo,02-09-1992,1
Old Republic International Corporation,-43.73148185,-69.37467027,Alto Hospicio,21-04-1973,1
"Cleveland BioLabs, Inc.",-39.31051311,-70.78321928,San Pedro de Atacama,11-11-1979,1
Pampa Camarones,-45.02954045,-68.47397968,General Lagos,22-02-2005,1
Bronce de Petorca,-46.76871429,-73.4125935,Valparaíso,14-08-1979,1
"Gabelli Equity Trust, Inc. (The)",-29.09239262,-74.52918534,San Gregorio,03-06-1960,1
Cerro Negro,-53.47278162,-73.54103596,Puchuncaví,02-12-1975,1
Andacollo Cobre,-35.37694761,-71.53827676,Illapel,25-07-1951,1
"Meridian Waste Solutions, Inc",-45.56787716,-67.74744981,General Lagos,21-10-1979,1
"Kayne Anderson Energy Total Return Fund, Inc.",-23.57398446,-72.00715791,Curacaví,22-11-1979,1
Limoneira Co,-22.41457701,-69.34907021,Antofagasta,23-11-2002,1
"First Financial Bankshares, Inc.",-49.40819843,-73.44452398,Primavera,06-02-1969,1
"Cyclacel Pharmaceuticals, Inc.",-54.06178027,-70.36594979,Taltal,20-07-2017,1
Crawford & Company,-54.16098596,-73.44295806,Vicuña,16-08-2005,1
"Delcath Systems, Inc.",-39.17132517,-72.07184672,Diego de Almagro,04-03-1969,1
"Ashford Hospitality Prime, Inc.",-45.841688,-74.24113967,Valparaíso,27-05-1969,1
"Rush Enterprises, Inc.",-30.49560682,-73.22249931,Chañaral,21-11-1957,1
GlaxoSmithKline PLC,-18.47051602,-70.13306378,Chañaral,23-09-1952,1
Great Plains Energy Inc,-33.39907535,-73.6965027,Rancagua,07-08-1959,1
"Urban One, Inc. ",-22.6316032,-69.88975164,Sierra Gorda,21-11-1999,1
Bed Bath & Beyond Inc.,-30.41079413,-72.28140068,Chañaral,17-11-1982,1
PIMCO Dynamic Credit and Mortgage Income Fund,-44.15489593,-73.61271333,Ovalle,19-03-1980,1
Apollo Senior Floating Rate Fund Inc.,-37.20283556,-73.69478663,Concón,25-06-2006,1
Caserones,-31.16089173,-70.89554656,Tierra Amarilla,11-12-1981,1
Linderos,-54.10836128,-72.54131209,Vicuña,15-11-1980,1
Andacollo Oro,-39.40655928,-73.12322375,Canela,15-07-1975,1
Carvana Co.,-30.63543452,-68.32490076,Taltal,16-12-2015,1
Northern Trust Corporation,-33.29786746,-72.0236178,Sierra Gorda,22-01-1979,1
Celite - Tilviche,-47.48083996,-69.78816034,Camiña,04-09-1965,1
El Teniente,-32.10812979,-74.10672937,Rancagua,12-01-1989,1
Neff Corporation,-45.49644381,-76.14144442,Antártica,11-12-1973,1
VictoryShares US 500 Enhanced Volatility Wtd ETF,-29.72839455,-71.02219486,María Elena,27-09-1970,1
Flor de Los Andes,-46.75384618,-71.52360501,Combarbalá,25-07-1954,1
Isla Riesco,-45.53392116,-74.80555265,Antártica,13-08-2000,1
First Trust South Korea AlphaDEX Fund,-24.7683369,-71.8845958,Codegua,12-11-1991,1
"PDF Solutions, Inc.",-45.17052541,-69.98027157,Putre,28-02-1979,1
Cabot Corporation,-41.82457563,-70.04926654,Alto del Carmen,29-09-1996,1
Data Processing,-47.59593324,-72.36669104,Vallenar,27-07-1974,1
Iván,-38.11993762,-70.60047994,Sierra Gorda,22-02-1980,1
Cosayach - Negreiros,-50.89317516,-69.80606347,Colchane,16-05-1979,1
Delta,-38.54033002,-71.39594038,Salamanca,07-01-1990,1
Silvercrest Asset Management Group Inc.,-51.64844751,-70.30809486,Ollagüe,15-07-1950,1
Tres Valles,-22.83237098,-72.19113554,Punitaqui,14-10-1998,1
"Enanta Pharmaceuticals, Inc.",-29.29631515,-73.79609293,Quintero,06-06-1976,1
"Safe Bulkers, Inc",-46.75649659,-69.6195718,Mejillones,23-03-1975,1
Pascua,-45.84541746,-72.50348538,Huasco,29-04-1996,1
Biglari Holdings Inc.,-20.51543241,-74.21582041,Natales,07-07-1965,1
"Gray Television, Inc.",-51.06075258,-74.25340939,Alhué,06-10-2004,1
"CatchMark Timber Trust, Inc.",-33.44505908,-72.21041226,Antofagasta,20-08-1990,1
Las Piedras,-43.10144946,-72.68829782,Tirúa,17-11-1982,1
"Western New England Bancorp, Inc.",-37.66461088,-70.62854518,Sierra Gorda,18-02-1999,1
"Shutterstock, Inc.",-23.78497286,-71.87950768,Curacaví,28-11-1986,1
"FSB Bancorp, Inc.",-23.97880405,-73.25941333,Río Verde,18-05-1970,1
SQM - Pedro de Valdivia,-42.57570453,-69.51443977,Antofagasta,23-06-1992,1
United Microelectronics Corporation,-34.30260501,-72.07558777,Antofagasta,21-08-1966,1
"Adams Diversified Equity Fund, Inc.",-23.61028685,-72.34481198,Panguipulli,22-04-1960,1
Tranquilo,-51.13728473,-73.03610548,Laguna Blanca,14-03-2019,1
Guanaco,-22.65293536,-70.66180792,Sierra Gorda,12-06-2008,1
PowerShares Nasdaq Internet Portfolio,-30.58149323,-68.53531036,Huara,21-01-1966,1
Lota,-17.96384615,-73.33109039,Santa Bárbara,13-12-2002,1
Diageo plc,-38.90344507,-68.46931075,Arica,26-11-2015,1
El Tofo,-46.26421645,-72.1887842,La Serena,23-04-2016,1
Fair Isaac Corporation,-19.05572733,-70.1235245,Pozo Almonte,08-04-1952,1
PTC Inc.,-43.92126064,-70.25055601,Pica,30-04-1994,1
E.I. du Pont de Nemours and Company,-52.58694562,-69.53267975,Ollagüe,12-02-1986,1
Stamps.com Inc.,-32.14490051,-70.02574064,Tierra Amarilla,01-11-1982,1
Vina Concha Y Toro,-42.30241952,-72.4703344,Tirúa,21-03-2010,1
"Tootsie Roll Industries, Inc.",-29.7891032,-68.88677317,San Pedro de Atacama,02-12-1971,1
Manto Verde,-37.1680669,-71.99358865,Caldera,15-02-1967,1
"Ellie Mae, Inc.",-46.02318735,-72.31154556,La Serena,25-09-2001,1
"The Chefs' Warehouse, Inc.",-50.31195952,-70.41277162,Ollagüe,13-05-2010,1
Quiborax,-45.4454804,-69.66660029,Putre,04-01-1976,1
"India Fund, Inc. (The)",-17.04318272,-74.71887529,Porvenir,27-02-1986,1
Gladstone Commercial Corporation,-55.47742963,-70.28823355,Alto Hospicio,10-03-2010,1
Check-Cap Ltd.,-19.52616206,-69.96478385,Calama,20-09-1960,1
"Investors Bancorp, Inc.",-50.83989176,-73.62680698,Alhué,22-04-1976,1
"MasTec, Inc.",-23.98766982,-72.31728235,Tocopilla,06-01-1977,1
Las Pataguas,-25.74654418,-72.32445062,Codegua,25-04-1957,1
Las Luces,-53.92453577,-71.07589986,Taltal,21-12-1974,1
DRDGOLD Limited,-46.89029091,-70.91828549,Combarbalá,26-06-2018,1
Johnson & Johnson,-31.24773185,-73.37599763,Isla de Maipo,29-01-1965,1
Cosayach - Soledad,-22.4076122,-69.04604462,Iquique,21-04-2009,1
Nuveen Municipal High Income Opportunity Fund,-38.89603639,-72.87012397,Paiguano,18-10-1962,1
"Herman Miller, Inc.",-22.71390651,-70.05634205,Sierra Gorda,03-12-1957,1
III de Atacama Kozan,-46.94661338,-72.1569849,Vallenar,20-08-1959,1
Fidus Investment Corporation,-45.46401685,-70.92528827,Camiña,29-06-1952,1
"Portola Pharmaceuticals, Inc.",-21.94825924,-74.05111571,Río Ibáñez,29-01-1952,1
Great Elm Capital Corp.,-46.91888967,-68.86531922,Colchane,23-06-2001,1
Cordillera - Tenardita,-47.84204942,-69.03536409,Colchane,23-10-1966,1
"Avenue Therapeutics, Inc.",-49.36704952,-69.43572153,Mejillones,01-05-2006,1
Pullalli,-40.15613517,-73.48525548,Casablanca,16-09-1982,1
Los Bronces,-20.63235417,-73.30770741,María Pinto,28-04-2010,1
"Pepsico, Inc.",-44.60997938,-74.8371451,Punta Arenas,01-04-2016,1
Candelaria,-50.71227996,-71.28340564,Freirina,24-10-1956,1
West Corporation,-33.60469188,-74.0102517,Los Vilos,25-11-2004,1
Pupunahue,-25.24011737,-72.81762993,Panguipulli,16-06-1979,1
Dollar General Corporation,-45.38138189,-70.64325644,María Elena,13-11-2012,1
Bright Scholar Education Holdings Limited,-32.29399007,-69.03379064,Huara,24-05-1988,1
"Zynerba Pharmaceuticals, Inc.",-46.27776541,-69.97186244,Mejillones,29-06-1968,1
CMP - Romeral,-35.48098221,-71.1905625,Coquimbo,10-07-1954,1
