número,nombre
52920-15732-BN,Dynatronics Corporation
52585-5864-NH,"Fiserv, Inc."
90536-26795-IB,Nuveen Floating Rate Income Fund
86941-76654-DH,GlaxoSmithKline PLC
39666-22807-DD,"Franklin Financial Network, Inc."
99064-65353-KE,Celite - Tana
92225-62303-OF,Patriot National Bancorp Inc.
1170-92553-IG,Hamilton Lane Incorporated
50895-76296-JG,Georgia Power Company
54809-98309-LJ,Sierra Gorda
6667-24651-BA,Collahuasi
46794-50871-AM,Antucoya
81562-88231-NG,Nabriva Therapeutics AG
70940-430-BI,Carola
90711-94912-BI,B.O.S. Better Online Solutions
26406-19514-LB,PowerShares Golden Dragon China Portfolio
15034-91882-KH,Inseego Corp.
48926-92957-FH,Forum Merger Corporation
20966-2287-GN,Novanta Inc.
23725-83303-FI,Yahoo! Inc.
8987-8726-FE,Quebrada Blanca
84716-95928-KB,TICC Capital Corp.
60301-70021-OB,"Mirna Therapeutics, Inc."
51770-46932-EK,"PrivateBancorp, Inc."
17540-59554-MM,Pullalli
40580-26655-IN,Yelp Inc.
70317-1761-FJ,Lota
933-93899-ME,Navío
42348-65185-JM,Suncor EnergyInc.
52452-11632-DJ,Terreno Realty Corporation
25264-2574-LK,SCL Chemetall
31926-21178-EB,Trongol
75887-7992-FG,Haldeman - Sagasca
6084-94035-EK,KT Corporation
87965-7162-MB,Lota
84505-25280-OE,"Dynex Capital, Inc."
80263-91423-JK,SQM - María Elena
59400-50499-AL,E.I. du Pont de Nemours and Company
35920-79778-IJ,EQT Corporation
6950-31233-BM,"TC PipeLines, LP"
23974-56394-KG,"FTI Consulting, Inc."
74438-67958-OM,Novelion Therapeutics Inc.
98051-99970-KB,Nuveen AMT-Free Municipal Value Fund
11282-90991-EA,"Entergy Louisiana, Inc."
18823-87464-II,Galectin Therapeutics Inc.
62893-84561-HA,Incyte Corporation
68602-75315-MD,Toll Brothers Inc.
8990-98288-HM,"SeaChange International, Inc."
71431-81235-HM,AbbVie Inc.
75740-71991-BI,El Toqui
36229-99833-LA,"HD Supply Holdings, Inc."
1381-4766-FB,"Kayne Anderson Energy Total Return Fund, Inc."
48173-64138-BI,Eagle Bulk Shipping Inc.
84593-9887-DF,Inseego Corp.
26874-39768-NG,"FairPoint Communications, Inc."
47931-32842-LM,Michilla
88112-12976-BF,Iván
67378-80654-OO,Maganeso III de Atacama
31569-97764-ID,"H&R Block, Inc."
51931-4621-AL,E.I. du Pont de Nemours and Company
82821-9653-IL,Can Can
54678-7991-BD,"HD Supply Holdings, Inc."
19015-83580-IH,María Elisa
39136-17233-HN,First Trust International Multi-Asset Diversified Income Index
88483-42850-OL,Moog Inc.
91451-79426-HN,Container Store (The)
24664-97780-FO,"Universal Stainless & Alloy Products, Inc."
73886-44546-MF,PowerShares Nasdaq Internet Portfolio
97192-64062-AO,Andacollo Oro
15045-27259-FJ,Comcast Corporation
2515-70419-BK,"Vectrus, Inc."
2822-26741-BG,Ojos del Salado
74086-28599-NL,PowerShares Golden Dragon China Portfolio
87206-56691-GM,"First Hawaiian, Inc."
67907-91471-JI,"SolarEdge Technologies, Inc."
27527-47716-IK,EQT Corporation
44493-60653-BO,Cerro Colorado
65366-46587-EL,Victoria
87180-19666-IF,Nuveen Energy MLP Total Return Fund
99939-68279-JF,Diana Shipping inc.
72733-88690-FH,Esperanza
33426-96929-BL,Pure Cycle Corporation
91055-2425-AN,Bright Scholar Education Holdings Limited
314-8182-HI,Fertón
74539-38234-JK,Independence Holding Company
42300-42306-GD,"Safe Bulkers, Inc"
99914-80641-FK,Cerro Casale
84184-36811-OM,"Hub Group, Inc."
93640-42901-JL,BRF S.A.
23813-70951-DA,Bright Scholar Education Holdings Limited
13715-63027-LB,"Ellie Mae, Inc."
64706-42638-JA,R.R. Donnelley & Sons Company
40424-47863-HD,PowerShares Golden Dragon China Portfolio
35774-44847-IM,Quiborax
48395-29381-BE,Toll Brothers Inc.
6039-46278-DM,Michilla
4395-52016-DM,JM Global Holding Company
73534-90231-HI,PTC Inc.
49811-4830-BB,"International Seaways, Inc."
84778-14286-BI,Fidus Investment Corporation
17580-89623-OM,"MiMedx Group, Inc"
15489-36709-BL,"Pepsico, Inc."
52703-52793-AN,"Edge Therapeutics, Inc."
74694-31348-GD,Pupunahue
52284-16837-NN,Delta
54956-80049-BJ,Punta de Lobos - Kanita
51783-24718-HB,Maganeso III de Atacama
15484-55884-AB,"PDF Solutions, Inc."
44898-65648-NL,Nuveen Energy MLP Total Return Fund
24000-80875-LO,Marte Lobo
40730-73518-GG,"MasTec, Inc."
47842-38319-FL,Lomas Bayas
70840-46159-IA,"Clear Channel Outdoor Holdings, Inc."
95619-82163-MF,American Homes 4 Rent
36328-56110-OF,Los Bronces
77044-72351-BI,Maganeso III de Atacama
36292-25733-IJ,Lions Gate Entertainment Corporation
74461-72782-EB,Celite - Carol
16503-37302-BD,"Ashford Hospitality Prime, Inc."
772-77603-DB,"HD Supply Holdings, Inc."
18642-73174-BB,"Portola Pharmaceuticals, Inc."
17228-3064-MM,"Under Armour, Inc."
27069-62591-KF,"support.com, Inc."
27015-10665-IE,"Shutterstock, Inc."
43955-80754-BH,Chimberos
46089-64886-FD,Kraton Corporation
3745-30024-FG,El Abra
77927-41652-AE,Choquelimpie
30984-62661-BH,"Nutanix, Inc."
99473-82631-BE,Neff Corporation
46312-65664-OI,"Cleveland BioLabs, Inc."
90429-36681-LM,"SeaChange International, Inc."
56670-69690-NE,Delta
94976-35914-BB,Entercom Communications Corporation
53700-56432-IB,"H&R Block, Inc."
23502-8803-NH,Mantos Blancos
92110-70853-KK,SQM - Mapocho
87920-12322-GM,"Portola Pharmaceuticals, Inc."
95580-80242-AG,"Dynex Capital, Inc."
17794-88455-NG,Iván
75641-27577-KE,Torchmark Corporation
11698-17269-GG,Incyte Corporation
70803-2500-FA,Diageo plc
73341-28996-HD,PowerShares BuyBack Achievers Portfolio
37724-4760-EE,Cerro Negro
29414-34696-KF,Yahoo! Inc.
37166-48188-KE,"SeaChange International, Inc."
51806-27866-EI,"Arista Networks, Inc."
76889-13160-GM,PIMCO Dynamic Credit and Mortgage Income Fund
83687-78588-BF,Celite - Tana
40525-27952-FH,Caserones
73600-83049-BK,"Hurco Companies, Inc."
87079-72213-HH,AbbVie Inc.
34823-55667-OO,"China Lodging Group, Limited"
95381-11530-GD,Northrop Grumman Corporation
57366-40429-DK,Microsemi Corporation
50662-64907-DB,Kopin Corporation
18261-63848-NB,Maganeso III de Atacama
46357-59986-GB,CMP - Cerro Negro Norte
23413-42861-IJ,First Trust Senior Loan Fund ETF
37480-31228-AO,Carvana Co.
29929-85963-DK,Marte Lobo
25617-27895-FI,Cosayach - Soledad
61983-62485-LB,Pirquitas
28904-6829-DK,Dollar General Corporation
58413-913-LB,"Meridian Waste Solutions, Inc"
99665-71158-BK,NVIDIA Corporation
99349-34993-EG,Pampa Camarones
57206-54530-DD,Stamps.com Inc.
39648-21403-GH,SCL Chemetall
78898-94927-BN,Moog Inc.
51470-54280-LM,Marine Petroleum Trust
22773-32540-GK,Cosayach - Cala Cala
54323-48069-BB,Brookfield Global Listed Infrastructure Income Fund
92680-33292-ID,SCL Chemetall
54320-63443-IG,Azul S.A.
25560-62492-IF,Galectin Therapeutics Inc.
34379-59717-IF,Inseego Corp.
48438-89200-AK,Pampa Camarones
9647-51110-IB,Manto Verde
31250-53298-KD,Dollar General Corporation
73835-79618-GA,"Avenue Therapeutics, Inc."
84402-80852-OF,Flor de Los Andes
19834-44866-KH,Enel Generacion Chile S.A.
44711-38611-NI,"UMH Properties, Inc."
3541-24866-GB,Celite - Tana
83925-22949-MN,Los Bronces
70956-36162-DE,"Chegg, Inc."
33429-60129-JB,"Nutanix, Inc."
27617-49734-DG,Neff Corporation
35514-43848-JL,Faride
25251-67670-BJ,Andes Travertine
56452-53818-KL,"German American Bancorp, Inc."
74760-34547-AM,Las Piedras
1405-57352-FB,San Gerónimo
85116-30876-JJ,"Sierra Oncology, Inc."
79002-3443-MF,"Sarepta Therapeutics, Inc."
73255-18796-LG,María Elisa
9382-11896-GJ,"Entergy Louisiana, Inc."
86035-37342-LK,"CatchMark Timber Trust, Inc."
13118-46964-NG,Colico Sur
55754-40935-JM,"China Lodging Group, Limited"
87267-3789-AN,Kite Realty Group Trust
54666-43312-HG,Manto Verde
81692-78732-OD,China Cord Blood Corporation
91497-47373-AM,"Cleveland BioLabs, Inc."
42899-36013-BK,United Insurance Holdings Corp.
22449-69777-OL,"Vectrus, Inc."
62769-48316-JL,Inacesa - El Way
66157-28678-DB,Western Asset Bond Fund
72791-38993-ME,"First Hawaiian, Inc."
46376-64880-NE,El Morro
9091-18322-DK,Dorado
25126-88571-NL,"First Hawaiian, Inc."
20138-63871-AF,Johnson & Johnson
54255-53453-LH,Mackinac Financial Corporation
19104-88446-DE,Eagle Bulk Shipping Inc.
59065-2297-LD,SQM - Pedro de Valdivia
65594-17989-BA,"Cogentix Medical, Inc."
35094-94809-AN,Dollar General Corporation
5606-48994-GG,Pampa Camarones
8832-44419-GO,"International Seaways, Inc."
40701-75051-OF,Cambrex Corporation
99748-88333-OB,Toll Brothers Inc.
54278-71074-LM,Ojos del Salado
10405-3013-FB,First Trust South Korea AlphaDEX Fund
78658-80170-BA,"Blackhawk Network Holdings, Inc."
25421-78810-EI,Ceragon Networks Ltd.
29342-43591-EJ,Merus Labs International Inc.
81320-70549-ED,Hamilton Lane Incorporated
89035-78027-BK,Carola
77544-16087-ND,Bright Scholar Education Holdings Limited
52271-62239-NA,Costamare Inc.
20917-8392-BH,Esterline Technologies Corporation
49914-18228-EO,AmerisourceBergen Corporation (Holding Co)
53092-57870-IK,SQM - Nueva Victoria
83550-52886-EE,Del Fierro
82175-37613-NA,Costamare Inc.
39937-42231-KK,Patriot National Bancorp Inc.
13731-33823-KG,ACF - Lagunas
46636-91960-GI,Talcuna
99131-22394-OE,"Portola Pharmaceuticals, Inc."
81198-14020-OM,"ILG, Inc"
9775-26500-DB,"Idera Pharmaceuticals, Inc."
22519-82571-EB,PowerShares BuyBack Achievers Portfolio
75370-89021-KJ,El Guindo
37596-86844-LJ,Zion Oil & Gas Inc
37932-93155-LH,Bed Bath & Beyond Inc.
6152-92269-OF,Isla Guarello
88027-9716-IG,United States Cellular Corporation
70903-65750-FN,Esperanza
10362-83889-AB,Imax Corporation
92927-6453-AJ,TICC Capital Corp.
55418-34133-KB,Western Alliance Bancorporation
26633-65881-KM,Biglari Holdings Inc.
17149-38609-NJ,"Avon Products, Inc."
97380-26930-JD,Abeona Therapeutics Inc.
86135-37414-LK,Antucoya
16076-75777-HG,Independence Holding Company
11641-34307-IJ,SAP SE
25509-30252-GB,La Marcelina
60895-66489-KM,"Edge Therapeutics, Inc."
73320-42264-KK,Urstadt Biddle Properties Inc.
40868-84822-MB,Altamira
47853-21136-BD,Peapack-Gladstone Financial Corporation
90211-78689-NG,Torchmark Corporation
1599-59083-NL,Nuveen Floating Rate Income Fund
1162-81244-BK,Eaton Vance Corporation
98510-75106-MB,SQM - Yumbes
29042-69868-HM,Isla Guarello
78386-7425-LB,Pupunahue
37911-51049-GB,Corporate Asset Backed Corp CABCO
85214-87335-HK,Cerro Bayo
83333-17784-OI,Tuina
26458-21930-AO,"Westbury Bancorp, Inc."
43980-91445-GF,"First Financial Bankshares, Inc."
3186-41407-HD,Diana Shipping inc.
48895-50224-BO,Chimberos
78748-19010-MO,The Community Financial Corporation
48611-12240-LA,Dos Amigos
49737-32319-EJ,Imax Corporation
39077-17093-IO,"Westbury Bancorp, Inc."
95639-66226-KA,Hamilton Lane Incorporated
42490-9549-FI,Pupunahue
66203-16639-HB,First Trust Multi-Asset Diversified Income Index Fund
18723-61185-NL,"Idera Pharmaceuticals, Inc."
41719-34380-HN,The Community Financial Corporation
1671-13940-FB,"Dynex Capital, Inc."
47987-72458-NA,Walter Investment Management Corp.
227-34265-AJ,Check-Cap Ltd.
62386-42264-KM,Intracampos
68232-33256-BE,Intracampos
37574-50937-IO,Carola
16168-65139-HL,"India Fund, Inc. (The)"
68632-15702-BN,SCL Chemetall
70909-4295-FI,"Chegg, Inc."
54728-45409-MH,"Forterra, Inc."
50212-33116-MJ,Intracampos
65076-92515-FA,Kilroy Realty Corporation
45329-39965-FN,"Ulta Beauty, Inc."
45674-72204-LL,"Blackhawk Network Holdings, Inc."
1870-81037-GN,Arlington Asset Investment Corp
18116-27855-FA,First Trust Emerging Markets Small Cap AlphaDEX Fund
7778-81018-OO,Faride
77220-5594-EM,Manto Verde
67912-57970-FK,Pirquitas
46798-97702-AB,"Edge Therapeutics, Inc."
60125-88020-EJ,"National American University Holdings, Inc."
15566-33961-IH,"National American University Holdings, Inc."
23331-39321-EA,West Corporation
8847-70563-GA,Linderos
28067-87061-NJ,"Recon Technology, Ltd."
78927-34906-AF,Old Republic International Corporation
76002-31884-HB,Inseego Corp.
54269-7563-OD,Inacesa - El Way
22419-89006-MN,Las Arenitas
24676-34240-MD,Coirón
58039-4526-DN,Dorado
24514-730-FM,"Nutanix, Inc."
47441-7383-NB,"Tootsie Roll Industries, Inc."
38134-8615-MK,Algorta
34535-21444-AL,El Morro
23788-66193-BD,"Chunghwa Telecom Co., Ltd."
5201-79340-GL,"Cyclacel Pharmaceuticals, Inc."
31390-10675-JI,3M Company
4969-92890-IE,"Ellie Mae, Inc."
42776-48862-BA,PIMCO Dynamic Credit and Mortgage Income Fund
79438-70598-OA,Quiborax
57815-21806-NN,"Littelfuse, Inc."
17949-48556-JA,Nuveen AMT-Free Municipal Value Fund
73862-79566-NH,Andacollo Oro
95807-39882-EA,PowerShares Golden Dragon China Portfolio
14105-17965-NF,"H&R Block, Inc."
79531-56651-LH,Incyte Corporation
28917-93426-IO,Punta de Lobos - Kanita
33889-6137-IM,Punitaqui
17642-79509-ME,Cabot Corporation
14031-50854-DI,Talcuna
12682-6172-OB,Clifton Bancorp Inc.
92571-15775-IG,La Coipa
31323-76681-FM,Andacollo Oro
28515-47758-HA,"Hurco Companies, Inc."
66801-89792-MN,Intracampos
65200-74601-FD,Vina Concha Y Toro
5332-26842-JN,"HD Supply Holdings, Inc."
19997-23211-BK,"Kura Oncology, Inc."
72886-77263-II,Nabriva Therapeutics AG
22684-50841-DL,HollyFrontier Corporation
74518-75950-BE,Marte Lobo
41314-95451-KA,Haldeman - Sagasca
96790-38945-EA,Abeona Therapeutics Inc.
88280-15844-GF,"International Seaways, Inc."
89113-30145-NE,United States Cellular Corporation
26132-30243-HN,VictoryShares US 500 Enhanced Volatility Wtd ETF
20495-64198-KA,"Avenue Therapeutics, Inc."
31612-27030-GN,"Universal Stainless & Alloy Products, Inc."
56633-55074-MH,SQM - Nueva Victoria
99687-54592-NF,Yelp Inc.
183-53239-EB,Navío
62248-78435-MK,SQM - Yumbes
88104-35890-NB,Dos Amigos
73598-14413-EL,Punitaqui
24053-31033-EH,Randgold Resources Limited
17636-7621-BE,Cerro Casale
87414-9611-GL,L.B. Foster Company
379-92160-JE,Georgia Power Company
45806-17701-BD,Marte Lobo
47238-166-AO,El Salvador
97851-38763-KB,"Ashford Hospitality Prime, Inc."
23059-52229-IO,"HCA Healthcare, Inc."
59766-622-AD,ACF - Lagunas
39629-99548-ID,Andacollo Cobre
73961-74990-OI,E*TRADE Financial Corporation
38445-14261-KI,EQT Corporation
8408-55431-HD,VictoryShares US 500 Enhanced Volatility Wtd ETF
49587-38492-AD,Punitaqui
58310-81724-EM,"Clear Channel Outdoor Holdings, Inc."
77830-17261-AG,Pupunahue
38317-81420-LK,Marine Petroleum Trust
13113-91204-IB,Andacollo Oro
19679-2578-IB,SQM - Yumbes
88355-75891-DO,U.S. Energy Corp.
18375-32934-HA,"LTC Properties, Inc."
43937-17188-FK,SL Green Realty Corporation
84781-76951-OM,"Spark Energy, Inc."
45717-64384-GE,"UMH Properties, Inc."
40917-85780-OG,Faride
22569-85132-EO,"Ellie Mae, Inc."
25648-25070-ML,Delta
62210-85464-BE,SQM Salar
81340-3193-BF,"Adams Diversified Equity Fund, Inc."
69702-57651-GF,"Discovery Communications, Inc."
20294-68376-MI,"Nustar GP Holdings, LLC"
62438-58719-ID,Regal Entertainment Group
98872-17698-DB,Dynatronics Corporation
87345-98996-FN,SQM - Mapocho
74850-85102-JH,First Trust Nasdaq Retail ETF
61716-54477-GH,Flor de Los Andes
35747-61648-GI,"Ulta Beauty, Inc."
91609-9651-NA,Applied DNA Sciences Inc
61991-14342-JD,First Trust Multi-Asset Diversified Income Index Fund
29882-86331-BE,"Discovery Communications, Inc."
67925-92389-AM,"Meridian Waste Solutions, Inc"
63632-88004-NO,Fidus Investment Corporation
36238-26381-HE,Northern Trust Corporation
4436-2326-IK,Global Partner Acquisition Corp.
5930-54688-NB,Cosayach - Cala Cala
23452-61348-AE,Credit Acceptance Corporation
86127-94020-IG,Isla Guarello
98892-54684-KE,"Western New England Bancorp, Inc."
52180-51755-OL,Eagle Bulk Shipping Inc.
15117-86590-BE,Escondida
59786-86883-MB,Toll Brothers Inc.
52501-35380-BA,Vanguard Russell 3000 ETF
11692-49599-EA,Carvana Co.
10297-96037-NB,El Volcán
18699-22073-FF,Eaton Vance Corporation
39740-33960-AE,Cosayach - Cala Cala
44764-24421-FJ,"FSB Bancorp, Inc."
73187-45555-LG,III de Atacama Kozan
18030-36968-NJ,Arenal
5984-71414-FO,Eaton Vance Corporation
58425-27924-AB,Incyte Corporation
98541-33437-GD,VictoryShares US 500 Enhanced Volatility Wtd ETF
93856-11256-BG,Great Elm Capital Corp.
78391-81266-OB,Choquelimpie
55742-61902-DO,"Nustar GP Holdings, LLC"
89983-96348-DB,"Avenue Therapeutics, Inc."
2253-23657-AK,Imax Corporation
92284-59559-KK,San Gerónimo
70438-87893-EM,Ojos del Salado
72863-84806-KE,"support.com, Inc."
54164-4511-DB,"Hawkins, Inc."
93353-20501-AB,"HD Supply Holdings, Inc."
51938-21205-OJ,Royal Caribbean Cruises Ltd.
40946-82076-LO,SAP SE
43995-44394-MM,Nabriva Therapeutics AG
53774-66575-MB,Northern Trust Corporation
68709-17669-II,Cambrex Corporation
67830-43035-BN,Michilla
71513-92419-OA,CMP - El Laco
3586-19278-BL,Diana Shipping inc.
66055-85336-ED,Park-Ohio Holdings Corp.
21728-78263-KG,"Westbury Bancorp, Inc."
66706-39380-MO,PowerShares KBW High Dividend Yield Financial Portfolio
86519-36795-HK,SQM - Pampa Blanca
86680-48983-OI,Iván
22411-15947-FB,Catamutún
53761-16248-JH,Silvercrest Asset Management Group Inc.
8058-42696-HO,Nuveen Energy MLP Total Return Fund
29773-34964-IA,Isla Guarello
24797-33266-GO,"Franklin Financial Network, Inc."
79431-80670-LF,Maganeso III de Atacama
46358-99061-OO,Punitaqui
67745-25836-HO,"LTC Properties, Inc."
78766-65377-ML,Manantial
1889-67972-MO,Diageo plc
21780-67227-EE,AdvisorShares Market Adaptive Unconstrained Income ETF
82746-44644-ID,Chimborazo
50839-829-JE,Westpac Banking Corporation
63996-26058-DI,"Pepsico, Inc."
19292-66392-BG,Abeona Therapeutics Inc.
31042-98887-HB,SQM - Nueva Victoria
92065-31029-BA,Pupunahue
48157-13557-DI,Haldeman - Sagasca
55755-56717-BD,The Community Financial Corporation
31567-2155-HF,"Ellie Mae, Inc."
67349-49899-HF,El Abra
9934-82928-AG,"Spark Energy, Inc."
15499-11395-BK,Applied DNA Sciences Inc
78952-5907-EF,"Delcath Systems, Inc."
39898-58963-LH,Terreno Realty Corporation
17765-54876-GE,"First Hawaiian, Inc."
31087-51550-DK,Tranquilo
75190-29365-KA,Data Processing
11196-6830-JF,3M Company
47152-53486-NH,Container Store (The)
21179-49934-JB,Neff Corporation
53633-38143-FO,La Marcelina
87545-5148-DM,"Chunghwa Telecom Co., Ltd."
77698-10226-BE,Quiborax - Ascotán
47965-12339-DL,El Soldado
22793-36725-DH,Ceragon Networks Ltd.
5880-50821-KB,"Urban One, Inc. "
34887-50690-FJ,Cabot Corporation
36124-42584-BH,Spence
30892-82624-LH,Caupolicán
46213-77123-AI,Toll Brothers Inc.
69260-49230-DD,Merus Labs International Inc.
13827-22125-NI,"First Financial Bankshares, Inc."
29964-93594-BE,"Argos Therapeutics, Inc."
77091-52112-BB,Pupunahue
60851-54517-MN,San Gerónimo
16561-56709-DI,"Adams Diversified Equity Fund, Inc."
19133-4266-FO,PowerShares KBW High Dividend Yield Financial Portfolio
23260-58469-BG,Natl Westminster Pfd
12661-73432-IE,Envision Healthcare Corporation
83802-5881-LK,"AMC Entertainment Holdings, Inc."
26031-677-MB,"Hawkins, Inc."
92732-20240-NA,ACF - Lagunas
83612-36874-EN,Gilat Satellite Networks Ltd.
46735-15108-IN,Pirquitas
32735-96762-FJ,Yelp Inc.
95730-41642-GO,Unisys Corporation
87973-82136-BB,Crawford & Company
55320-17047-BA,Dynatronics Corporation
16834-16078-EA,"China Lodging Group, Limited"
95677-87702-IA,El Guindo
76674-16027-NJ,"Urban One, Inc. "
17173-54488-OA,"Biocept, Inc."
99503-33039-MA,"Vectrus, Inc."
28177-20876-EB,Montecristo
15963-32663-FD,Credit Acceptance Corporation
75993-43940-EE,Radomiro Tomic
26116-55035-KB,El Toqui
46482-41469-HG,"Apple Hospitality REIT, Inc."
90077-64093-FF,Chuquicamata
3831-95115-IE,Pure Cycle Corporation
93803-16650-OH,"Delcath Systems, Inc."
47014-81990-AK,Altamira
96551-10605-OL,"Xenia Hotels & Resorts, Inc."
13216-18575-KH,La Productora
42444-63954-DD,Kilroy Realty Corporation
89274-86339-GG,Kamada Ltd.
75054-76434-NE,Guanaco
14874-85789-MD,Great Plains Energy Inc
17084-2167-NO,"Franklin Financial Network, Inc."
56899-69529-BN,María Elisa
46288-28815-LH,Trongol
52159-40798-EB,"German American Bancorp, Inc."
60866-18656-FB,"Gray Television, Inc."
12342-9658-LH,"Rush Enterprises, Inc."
60817-10105-GE,"UMH Properties, Inc."
18743-65639-BO,Ministro Hales
71959-72466-AO,Quiborax - Ascotán
31839-75713-JA,Haldeman - Sagasca
56824-95547-LB,"LM Funding America, Inc."
59332-18424-DA,Kite Realty Group Trust
81752-96365-GD,Peabody Energy Corporation
5639-16870-MB,Northrop Grumman Corporation
77633-50657-DA,Cowen Inc.
25599-34576-AE,Refugio
29657-4103-IF,Johnson & Johnson
49688-92691-FE,PIMCO Dynamic Credit and Mortgage Income Fund
70137-56890-HN,Arlington Asset Investment Corp
63450-37416-KN,EQT Corporation
68856-40737-NK,Romeral
82195-14046-LO,Incyte Corporation
28600-8488-HJ,iShares MSCI EM ESG Optimized ETF
56647-42502-AD,Marte Lobo
65059-55517-BO,Ministro Hales
60038-57619-BO,VictoryShares US 500 Enhanced Volatility Wtd ETF
15914-82677-BI,Tranquilo
35182-19831-HH,Pucobre
47444-41443-FH,"NextEra Energy, Inc."
7934-32949-KE,Caupolicán
67183-7387-FA,"MiMedx Group, Inc"
86588-91383-JD,Nuveen Connecticut Quality Municipal Income Fund
61597-66009-IM,Kraton Corporation
46320-8513-NN,El Guindo
51386-94542-JH,Isla Riesco
87829-17879-BM,El Tesoro
19257-66234-EB,Moog Inc.
18530-47923-EB,ENGlobal Corporation
67525-44905-OA,Cosayach - Cala Cala
29362-24578-DL,Zion Oil & Gas Inc
7895-68461-OJ,Silicon Motion Technology Corporation
33633-19647-OL,Las Cenizas
79161-17288-BA,BlackRock Municipal Target Term Trust Inc. (The)
84644-52766-KF,CMP - Cerro Negro Norte
70381-51138-OM,"AMC Entertainment Holdings, Inc."
86037-18059-MO,Candelaria
92302-99582-BB,Global Partner Acquisition Corp.
24267-28191-LI,"Commercial Vehicle Group, Inc."
8999-42371-AH,Romeral
1899-25603-MN,Celgene Corporation
88641-24696-GO,Pirquitas
70434-40618-BA,Diana Shipping inc.
45195-42798-GO,Novanta Inc.
52726-22599-NM,Dynatronics Corporation
73022-89394-KL,"Cyclacel Pharmaceuticals, Inc."
99640-97447-FG,Northrop Grumman Corporation
49727-81191-JF,"Everspin Technologies, Inc."
98130-23480-OA,Dollar General Corporation
98501-46868-HE,SQM - Pampa Blanca
50994-15607-AH,"TC PipeLines, LP"
68604-55112-AB,Orbotech Ltd.
26522-85487-MG,Las Pataguas
96548-74673-HO,Chimborazo
92749-97770-BO,"Sierra Oncology, Inc."
60282-77667-AH,"Sportsman's Warehouse Holdings, Inc."
55894-94468-AL,Merus Labs International Inc.
41319-78582-JM,Colico Sur
54897-50526-KB,"Avon Products, Inc."
36364-95151-BB,Corporate Asset Backed Corp CABCO
76011-68346-EO,AmerisourceBergen Corporation (Holding Co)
52841-57823-ID,E.I. du Pont de Nemours and Company
30569-23480-LG,Incyte Corporation
22130-34535-DO,Escondida
52530-31141-LE,Nuveen AMT-Free Municipal Value Fund
65722-41979-AG,Chimborazo
14765-40161-KM,First Trust International Multi-Asset Diversified Income Index
43480-26468-BA,Guaranty Bancorp
30720-19511-BF,Nuveen Michigan Quality Municipal Income Fund
58914-60536-EH,Can Can
65600-32615-AB,"Dynex Capital, Inc."
43266-80914-GA,"Under Armour, Inc."
89011-68127-KK,Maganeso III de Atacama
35202-36492-NA,Cosayach - Soledad
84411-45006-KK,Pirquitas
