,duración (días),tipo_contenido
2243,1,spam
2248,71,imagenes
2250,27,imagenes
2251,29,imagenes
2254,87,video
2255,19,spam
2256,32,video
2259,41,imagenes
2261,89,spam
2262,90,imagenes
2264,35,audio
2265,23,audio
2266,86,imagenes
2270,70,video
2272,23,imagenes
2275,46,imagenes
2280,77,audio
2283,67,imagenes
2284,57,spam
2288,15,spam
2289,61,video
2295,59,spam
2299,13,video
2300,36,spam
2302,31,audio
2304,81,video
2307,27,imagenes
2310,56,audio
2312,22,video
2314,20,imagenes
2315,15,spam
2317,63,spam
2319,16,imagenes
2321,27,audio
2323,26,spam
2324,1,imagenes
2325,54,audio
2326,40,audio
2327,90,imagenes
2328,69,spam
2330,11,video
2332,5,spam
2334,31,imagenes
2335,14,audio
2336,26,video
2342,40,imagenes
2343,90,video
2344,33,video
2345,83,video
2347,20,video
2349,39,spam
2352,37,audio
2353,35,video
2355,51,video
2359,36,video
2363,63,imagenes
2364,23,spam
2365,89,spam
2366,6,imagenes
2368,29,imagenes
2370,17,spam
2375,64,audio
2377,79,spam
2382,3,spam
2383,53,spam
2386,79,video
2387,65,video
2389,26,video
2395,56,imagenes
2396,47,audio
2400,5,audio
2402,50,spam
2406,81,imagenes
2407,17,audio
2409,82,video
2410,9,video
2411,69,video
2414,28,imagenes
2417,51,video
2419,43,video
2427,1,audio
2428,14,spam
2429,28,video
2432,11,spam
2434,63,video
2435,87,spam
2438,86,imagenes
2439,65,imagenes
2440,24,spam
2442,55,video
2444,9,video
2448,76,imagenes
2449,21,spam
2452,86,spam
2454,88,imagenes
2455,78,audio
2456,63,imagenes
2458,10,spam
2460,3,imagenes
2462,45,video
2464,29,spam
2466,82,spam
2468,51,imagenes
2470,21,video
2471,85,video
2474,77,audio
2475,33,imagenes
2476,22,imagenes
2477,74,spam
2479,4,spam
2481,24,video
2485,73,imagenes
2487,70,video
2488,6,imagenes
2489,62,video
2493,26,spam
2494,74,imagenes
2496,81,imagenes
2498,85,spam
2499,34,imagenes
2501,61,imagenes
2502,48,spam
2503,30,imagenes
2504,12,video
2505,43,audio
2508,71,audio
2509,45,audio
2510,64,spam
2511,10,spam
2512,5,audio
2513,33,imagenes
2515,63,spam
2517,21,spam
2518,46,audio
2520,9,imagenes
2523,42,spam
2525,48,imagenes
2526,59,imagenes
2533,59,imagenes
2535,36,audio
2536,40,imagenes
2537,13,audio
2539,47,imagenes
2544,25,video
2546,69,imagenes
2548,49,audio
2552,36,imagenes
2557,88,audio
2558,29,audio
2560,77,video
2563,29,video
2565,63,audio
2567,33,video
2569,51,spam
2570,60,audio
2572,90,audio
2575,21,audio
2576,88,spam
2578,13,video
2581,19,audio
2582,61,imagenes
2584,33,imagenes
2586,50,audio
2587,39,imagenes
2588,24,audio
2590,4,spam
2592,20,imagenes
2594,43,video
2595,11,audio
2596,75,spam
2598,26,video
2599,53,spam
2600,41,audio
2603,15,audio
2604,18,video
2606,15,audio
2610,4,spam
2613,80,video
2618,56,imagenes
2619,16,spam
2620,19,spam
2622,46,spam
2628,79,imagenes
2629,69,imagenes
2630,7,video
2631,3,imagenes
2632,13,video
2633,80,spam
2634,75,spam
2635,2,imagenes
2636,23,audio
2638,87,video
2640,1,spam
2641,82,audio
2646,43,video
2647,19,imagenes
2649,44,audio
2650,58,imagenes
2651,55,video
2652,12,imagenes
2653,52,imagenes
2656,13,audio
2657,71,video
2658,61,imagenes
2663,56,imagenes
2665,70,spam
2666,43,audio
2667,13,audio
2669,62,audio
2671,41,video
2672,70,spam
2673,72,imagenes
2674,37,imagenes
2676,30,audio
2678,77,video
2680,32,spam
2682,57,spam
2684,61,video
2685,64,imagenes
2689,80,spam
2695,28,video
2697,31,spam
2700,59,audio
2702,90,spam
2707,62,video
2709,85,spam
2711,20,imagenes
2713,55,audio
2714,42,imagenes
2715,42,video
2718,86,imagenes
2719,72,spam
2720,19,imagenes
2724,51,audio
2726,30,video
2730,1,spam
2732,53,imagenes
2736,43,spam
2738,73,imagenes
2740,10,spam
2742,12,audio
2743,6,video
2745,1,video
2747,34,imagenes
2750,77,imagenes
2753,53,imagenes
2756,41,spam
2757,45,imagenes
2758,40,imagenes
2759,76,video
2762,78,video
2766,56,spam
2769,53,imagenes
2771,69,video
2775,65,audio
2779,30,imagenes
2781,32,video
2783,47,spam
2786,48,spam
2788,63,video
2791,55,video
2793,87,audio
2800,77,video
2801,86,imagenes
2806,29,audio
2807,18,video
2808,59,imagenes
2811,85,imagenes
2812,82,spam
2815,59,imagenes
2821,79,audio
2822,32,spam
2824,63,spam
2829,74,audio
2834,11,imagenes
2835,25,video
2837,42,spam
2839,76,audio
2841,64,imagenes
2842,50,video
2844,42,spam
2845,43,audio
2847,2,imagenes
2849,81,spam
2850,47,video
2852,15,video
2855,69,spam
2858,82,audio
2859,55,imagenes
2861,40,spam
2865,89,imagenes
2868,52,imagenes
2869,30,video
2870,74,spam
2872,71,audio
2875,4,imagenes
2877,9,audio
2878,27,audio
2883,85,spam
2886,75,video
2891,35,imagenes
2892,4,audio
2893,75,video
2894,90,imagenes
2895,72,audio
2896,1,audio
2899,79,imagenes
2902,72,imagenes
2903,25,spam
2904,62,spam
2905,52,audio
2906,54,video
2910,77,video
2911,27,video
2912,67,spam
2915,30,imagenes
2917,62,audio
2918,84,video
2919,4,audio
2920,23,video
2921,43,imagenes
2925,47,video
2927,90,video
2929,23,audio
2930,64,audio
2932,59,imagenes
2933,25,spam
2936,36,spam
2938,67,spam
2939,53,video
2941,35,spam
2943,40,video
2948,74,spam
2950,58,video
2951,71,spam
2953,65,audio
2955,15,audio
2958,62,imagenes
2960,60,video
2961,38,audio
2963,67,spam
2966,63,imagenes
2968,39,video
2972,13,imagenes
2974,78,video
2975,18,imagenes
2976,9,audio
2977,19,video
2978,85,spam
2980,19,video
2981,36,video
2982,1,video
2983,84,audio
2984,26,audio
2985,56,imagenes
2986,39,imagenes
2990,65,spam
2991,37,spam
2992,44,video
2995,25,video
2996,11,imagenes
2998,48,audio
2999,56,video
3003,81,imagenes
3008,16,imagenes
3009,86,audio
3010,34,video
3013,30,video
3017,57,video
3020,35,spam
3021,79,video
3022,16,imagenes
3024,88,audio
3028,80,video
3030,25,spam
3031,11,imagenes
3033,6,video
3034,22,spam
3036,62,spam
3039,83,spam
3040,30,imagenes
3041,14,video
3043,55,audio
3046,64,video
3047,76,imagenes
3051,7,spam
3053,39,audio
3054,67,imagenes
3057,70,audio
3058,80,spam
3061,68,audio
3063,66,spam
3069,79,imagenes
3070,82,audio
3072,22,imagenes
3073,11,imagenes
3074,84,audio
3076,62,spam
3077,23,audio
3079,81,imagenes
3081,77,imagenes
3084,15,spam
3085,10,spam
3086,35,video
3089,47,video
3090,66,imagenes
3093,7,imagenes
3094,48,video
3099,74,video
3101,4,imagenes
3103,62,video
3106,86,spam
3110,50,imagenes
3112,35,video
3118,28,spam
3119,49,imagenes
3120,52,video
3125,58,audio
3127,50,audio
3132,44,spam
3134,7,spam
3137,66,audio
3138,17,spam
3142,1,spam
3143,53,audio
3144,78,video
3145,81,imagenes
3146,61,audio
3152,25,video
3153,20,audio
3156,70,audio
3162,20,spam
3163,12,video
3170,76,audio
3172,24,audio
3176,29,imagenes
3182,65,video
3183,89,audio
3185,48,video
3187,45,spam
3188,89,imagenes
3189,46,imagenes
3190,66,imagenes
3193,72,audio
3196,46,imagenes
3199,21,video
3202,7,spam
3203,39,audio
3204,90,video
3206,25,video
3208,60,spam
3209,40,audio
3212,4,spam
3215,4,audio
3216,25,imagenes
3218,27,video
3219,65,imagenes
3220,70,spam
3223,31,video
3226,62,audio
3231,1,audio
3233,42,video
3234,20,imagenes
3236,4,video
3237,59,imagenes
3238,57,video
3239,49,audio
3240,90,audio
3243,39,imagenes
3244,53,audio
3247,16,video
3249,12,audio
3251,2,audio
3254,83,spam
3256,23,spam
3259,10,imagenes
3261,53,video
3262,17,audio
3263,58,imagenes
3264,57,video
3266,90,audio
3267,15,audio
3271,14,video
3272,52,spam
3273,46,audio
3275,54,video
3276,35,audio
3280,51,spam
3281,68,audio
3284,25,video
3285,87,spam
3286,84,video
3287,82,video
3288,76,audio
3289,70,video
3291,15,video
3297,53,imagenes
3298,35,spam
3302,43,audio
3303,45,audio
3304,83,video
3307,82,audio
3308,69,video
3310,90,spam
3313,26,imagenes
3315,61,audio
3316,86,imagenes
3317,58,audio
3320,83,imagenes
3322,25,video
3323,41,audio
3325,38,video
3327,50,audio
3333,14,audio
3334,25,spam
3337,47,spam
3338,16,spam
3340,53,spam
3341,28,spam
3342,26,imagenes
3343,43,spam
3344,45,audio
3345,77,imagenes
3348,39,imagenes
3352,72,imagenes
3356,5,imagenes
3358,61,imagenes
3359,75,imagenes
3361,31,spam
3364,14,imagenes
3366,15,video
3369,88,video
3372,22,imagenes
3378,74,video
3379,62,video
3380,39,imagenes
3381,73,spam
3382,26,imagenes
3383,73,spam
3384,17,imagenes
3385,17,spam
3388,16,spam
3389,72,video
3392,90,imagenes
3393,8,imagenes
3394,83,video
3395,32,spam
3398,57,spam
3399,26,imagenes
3400,4,video
3401,89,imagenes
3402,28,audio
3403,90,video
3404,8,spam
3409,86,audio
3411,25,video
3412,29,video
3414,62,video
3415,35,audio
3416,43,imagenes
3418,43,spam
3420,50,video
3421,28,video
3422,43,imagenes
3423,20,imagenes
3426,20,video
3427,51,spam
3428,2,audio
3433,30,imagenes
3434,83,imagenes
3435,90,video
3436,89,video
3437,49,spam
3438,66,imagenes
3440,12,spam
3442,21,spam
3443,58,audio
3445,28,video
3447,61,video
3448,18,audio
3450,26,video
3451,15,audio
3452,23,video
3454,69,spam
3455,55,video
3457,53,spam
3458,15,audio
3459,85,video
3462,62,spam
3465,27,video
3468,52,audio
3470,86,audio
3471,90,spam
3472,85,imagenes
3473,25,spam
3478,27,spam
3481,8,spam
3483,52,imagenes
3486,8,video
3489,69,spam
3492,34,audio
3497,24,video
3502,31,imagenes
3506,90,imagenes
3507,25,spam
3511,30,video
3514,21,spam
3519,11,imagenes
3520,44,video
