mid,presupuesto (US$),fecha
350,20172,05/08/1998
351,791680,10/07/1990
352,261218,04/09/1980
353,84623,28/03/2014
354,841005,21/12/2010
355,812267,04/04/1965
356,156898,28/08/1998
357,537778,16/04/2011
358,31510,27/01/1984
359,139217,06/08/2013
360,243988,04/01/1999
361,422840,24/10/1982
362,374246,05/02/1995
363,16688,12/06/1975
364,321226,26/09/2006
365,824982,09/12/2001
366,132934,03/05/1981
367,271159,15/02/2014
368,375481,12/10/1999
369,694668,30/12/2009
370,70387,24/12/1968
371,814592,08/01/1983
372,993420,21/01/2019
373,544320,12/12/2003
374,820300,10/07/2000
375,369424,22/02/2004
376,144612,05/07/2002
377,595427,12/03/2005
378,211131,26/05/2012
379,236871,28/02/2019
380,713868,17/12/2003
381,836146,29/12/2018
382,455378,24/12/1993
383,331549,13/12/1995
384,191074,24/03/1991
385,265699,25/04/2000
386,196083,22/04/2014
387,558063,18/06/2012
388,585442,14/02/2015
389,776795,31/10/1975
390,581814,27/07/1999
391,52377,28/11/2012
392,161405,28/05/2013
393,789192,16/07/1991
394,127649,23/08/2019
395,404542,11/02/2000
396,383762,11/06/1980
397,336454,28/02/2019
398,982918,24/10/2013
399,281113,11/10/2014
400,784511,17/12/2015
401,846865,16/05/2011
402,43468,16/09/1958
403,919166,10/07/2006
404,946092,25/09/2003
405,252742,15/06/1955
406,46739,15/09/1994
407,750601,23/01/2012
408,836515,26/08/1982
409,138183,12/05/2015
410,790057,30/04/1990
411,371978,12/02/1990
412,18165,03/09/1959
413,666599,22/04/2013
414,544431,25/03/2012
415,301258,14/01/1991
416,857277,27/08/2008
417,457309,14/12/2018
418,976799,24/03/2015
419,477850,13/01/2001
420,984247,28/01/1972
421,935875,29/12/1988
422,797591,10/11/2009
423,992513,01/09/2007
424,227042,19/06/2014
425,314631,10/01/1966
426,929350,21/12/1984
427,398797,22/02/1993
428,724853,24/06/2018
429,955862,20/02/1989
430,370348,12/04/1979
431,957785,21/04/2018
432,237274,18/01/2019
433,389964,22/08/2002
434,678535,12/10/2008
435,330932,06/10/2007
436,302438,11/04/1973
437,92578,08/09/2008
438,647940,08/12/1987
439,451894,19/06/1983
440,265448,09/07/2013
441,714859,29/06/1986
442,631683,08/04/1971
443,759593,08/02/1992
444,51356,26/01/2014
445,629064,09/10/2018
446,679459,02/06/2019
447,18828,11/11/2004
448,821870,23/06/2012
449,196657,28/01/2010
450,443610,15/09/2002
451,407355,17/09/2002
452,5526,22/10/2002
453,41162,05/10/2006
454,21592,31/12/2016
455,750062,22/07/1973
456,597179,24/05/1995
457,307407,07/04/2019
458,511490,07/07/2018
459,683526,31/08/1994
460,207303,11/11/1975
461,356936,27/02/2018
462,335172,02/10/2007
463,286935,30/05/2016
464,661939,06/12/1990
465,840797,14/05/1959
466,432727,23/02/1982
467,566338,30/09/2001
468,860554,29/05/2016
469,282522,27/06/1987
470,177908,18/04/2005
471,116579,13/03/1997
472,472727,10/10/1994
473,804419,10/08/1997
474,578899,05/07/2006
475,682615,05/06/2019
476,702827,25/06/2009
477,649759,28/07/2016
478,66501,29/03/1997
479,603210,08/05/2003
480,379256,07/07/1987
481,902923,14/05/2001
482,870004,03/10/1988
483,450668,30/11/2014
484,57900,02/08/2019
485,623271,09/08/1998
486,508623,21/09/2007
487,842016,28/05/1976
488,609668,14/11/1997
489,576885,15/07/1999
490,961482,25/12/1958
491,674173,02/07/1981
492,70941,29/12/2004
493,605259,16/04/2013
494,894218,16/06/1958
495,29997,01/06/1999
496,626389,09/09/1994
497,859440,11/03/1991
498,315807,12/09/1969
499,192176,13/01/1971
500,226225,04/07/2001
501,483081,13/08/2019
502,758361,27/02/2018
503,260363,28/01/1999
504,738407,18/09/2016
505,778367,24/06/1990
506,330806,22/01/2009
507,180284,01/02/2006
508,487850,28/08/2018
509,514417,16/04/2019
510,125629,18/04/2015
511,909602,16/11/2015
512,3963,13/07/1961
513,583993,06/11/2008
514,109882,05/10/1977
515,484302,12/09/1981
516,39036,16/11/2015
517,724620,19/07/2016
518,380181,12/05/2016
519,485027,15/02/2009
520,753731,06/12/1972
521,285716,22/08/2004
522,248665,29/10/2006
523,999654,17/11/2018
524,424779,06/12/1986
525,984149,11/09/2012
526,354111,11/01/1984
527,301933,14/11/1996
528,751183,26/09/1999
529,621274,12/10/1990
530,386935,01/05/2006
531,543642,04/03/1996
532,709124,14/02/1995
533,465363,13/05/2013
534,121366,08/07/1954
535,630338,14/08/2019
536,410517,06/10/1964
537,531155,13/06/1986
538,674039,03/04/2004
539,533632,30/01/1992
540,848655,03/03/2012
541,399908,29/05/2011
542,736264,12/10/2017
543,577603,10/08/1981
544,405659,14/06/2014
545,915498,09/01/2017
546,4427,15/12/2015
547,787745,19/05/1975
548,988370,28/02/2019
549,991939,25/06/1990
550,701228,09/10/1997
551,375063,12/02/2004
552,287310,18/10/1952
553,588110,05/07/2018
554,3665,12/09/2012
555,462729,03/05/2017
556,842681,02/12/2010
557,531561,22/12/2011
558,225066,12/01/1995
559,441681,05/06/1974
560,896224,17/09/1968
561,257068,28/04/1978
562,460631,04/11/2016
563,269198,20/02/1994
564,508,04/01/1994
565,497177,18/08/2019
566,1289,27/08/2016
567,191189,14/10/2018
568,73653,23/05/1995
569,361069,01/12/1985
570,571079,03/11/2001
571,611318,16/11/1994
572,655138,03/06/2008
573,203430,11/03/2009
574,365896,20/05/1997
575,982868,13/06/2019
576,473974,14/07/2003
577,905989,12/01/2013
578,396816,23/02/2009
579,334836,06/12/2000
580,326622,06/07/2004
581,560736,23/10/1989
582,639177,20/03/2014
583,433002,19/05/1973
584,725546,15/10/1991
585,987335,20/11/1998
586,829461,30/08/1990
587,779490,29/01/1977
588,65321,02/10/2016
589,471429,24/05/1997
590,800297,22/05/1981
591,395828,31/12/1976
592,236100,01/03/1982
593,31057,05/07/2004
594,760840,14/03/2009
595,624976,06/06/2019
596,252175,09/02/2018
597,245239,08/02/1996
598,229297,11/03/2017
599,641285,22/06/1981
600,610748,02/05/2004
601,39096,07/12/1992
602,665600,22/04/1967
603,608548,27/12/2007
604,293896,05/03/1982
605,114771,13/11/2012
606,703079,22/09/1999
607,993803,02/05/2018
608,458645,26/12/2012
609,359999,13/08/2018
610,736643,09/09/1999
611,106445,21/12/1974
612,259933,17/11/2016
613,944882,18/02/1962
614,250949,04/02/1997
615,484129,21/03/2009
616,968058,25/11/2017
617,997714,08/10/2017
618,704174,03/03/2014
619,328928,10/01/1990
620,486951,09/07/1983
621,550302,02/06/2017
622,564375,01/08/2004
623,378412,28/02/1991
624,312150,08/10/2006
625,342944,07/04/1991
626,479662,19/08/2018
627,690010,16/11/1987
628,225229,03/08/2007
629,128477,01/12/2006
630,208534,25/11/2000
631,979656,13/11/2004
632,134167,09/01/2011
633,843054,12/03/2016
634,143798,07/01/1989
635,986537,31/07/2002
636,652894,24/01/2008
637,357988,26/05/2014
638,26658,23/04/1980
639,351568,14/02/2007
640,76661,31/03/1992
641,848833,27/09/2018
642,617541,07/12/1986
643,175986,09/01/1999
644,47414,28/07/2016
645,507273,09/03/2000
646,206625,22/05/2015
647,121780,18/07/2004
648,955660,12/04/1965
649,876331,29/05/1977
650,243318,06/09/2002
651,844031,28/12/2004
652,607316,14/08/1990
653,875946,10/04/1972
654,979628,05/02/2015
655,113416,04/02/2008
656,428264,16/06/1995
657,578867,20/07/1986
658,794890,26/02/2009
659,583669,26/02/2007
660,963052,23/08/2018
661,862350,29/04/2018
662,734008,28/05/2002
663,11262,03/07/2008
664,829976,06/11/2012
665,373371,31/10/2015
666,513133,06/06/2000
667,590272,09/11/2016
668,198348,01/12/2003
669,174527,22/11/1993
670,742974,23/11/2018
671,228304,10/04/2017
672,903761,19/02/1990
673,327219,30/03/1960
674,347264,13/09/2011
675,845249,07/06/2006
676,337317,03/03/1977
677,187766,26/06/1999
678,181460,28/08/2010
679,185815,15/03/1979
680,471719,10/05/2006
681,583126,11/05/1977
682,179421,05/08/1999
683,238104,03/04/1979
684,242358,10/10/2000
685,540037,14/05/2018
686,772272,27/03/2011
687,680035,09/10/1990
688,399421,24/06/1990
689,904324,15/06/1987
690,742448,10/08/1992
691,504599,09/05/1987
692,906576,15/02/2013
693,618758,18/09/1990
694,637615,19/03/1981
695,146790,20/07/1992
696,772354,17/06/1989
697,6715,03/12/1989
698,820218,27/05/2019
699,220085,25/02/2019
700,145596,05/12/2013
701,212386,12/09/1995
702,908925,17/01/1984
703,968677,13/06/2006
704,765328,24/07/2014
705,463240,26/05/1992
706,559460,31/08/2003
707,820852,06/03/1975
708,849397,26/10/2017
709,690629,27/02/2003
710,488753,25/11/2016
711,799294,30/03/2018
712,74197,19/06/2017
713,952915,28/08/2011
714,85898,03/06/1982
715,246744,24/04/2018
716,738719,22/06/2019
717,386609,13/12/2016
718,70085,17/03/2017
719,564412,10/06/2010
720,661497,18/06/2019
721,864414,26/08/1998
722,770490,06/06/2016
723,839458,26/02/2008
724,891059,13/12/2006
725,754689,26/09/2015
726,29494,21/01/2015
727,969153,23/09/2008
728,230548,27/11/2016
729,460240,22/12/1993
730,833109,27/09/2011
731,998108,07/10/1999
732,236715,28/05/1981
733,980068,10/02/1978
734,61131,22/12/2014
735,107522,13/11/2009
736,979817,29/09/2018
737,578549,13/08/2006
738,263894,24/07/2019
739,376888,16/03/2014
740,890912,14/03/2003
741,176046,10/08/2017
742,481304,19/12/2013
743,57524,23/07/2011
744,961184,21/12/1995
745,402225,05/05/1981
746,935015,23/06/2018
747,127467,17/06/1985
748,207017,28/03/2009
749,793282,14/08/2019
750,710726,23/10/1971
751,119678,13/12/2007
752,912198,10/05/2004
753,392000,16/09/2008
754,177836,19/08/2012
755,599777,17/07/2019
756,534928,13/12/2006
757,921615,05/02/2017
758,795628,23/01/1994
759,179204,10/01/2008
760,284626,23/10/1987
761,582885,07/07/2018
762,888124,24/10/2017
763,763748,01/07/1992
764,268103,01/04/2002
765,201205,21/04/2016
766,454483,21/09/1989
767,991618,25/11/1980
768,685402,09/03/1995
769,902603,12/02/2007
770,87763,14/11/2018
771,249231,08/10/1985
772,255606,09/03/2017
773,193789,04/10/1988
774,930588,27/05/1997
775,172666,29/03/1973
776,197465,30/05/2002
777,186978,12/04/2016
778,299841,09/04/2013
779,909223,09/07/1978
780,286757,11/03/1978
781,754342,20/03/2003
782,820179,27/01/2018
783,349894,30/05/2011
784,536150,17/08/2002
785,497157,04/10/2009
786,904494,10/04/2005
787,373887,06/05/1964
788,891169,18/01/1967
789,374515,19/05/2006
790,316749,15/06/2015
791,338666,11/12/1985
792,151537,15/02/2013
793,904668,28/01/1968
794,389962,17/01/2018
795,262005,05/04/2008
796,763985,21/10/2004
797,902006,01/02/2018
798,463414,20/08/1968
799,504180,24/02/2000
800,815717,07/08/1983
801,859628,09/11/1991
802,838975,09/01/1955
803,96209,24/06/1994
804,997614,17/04/2007
805,47135,06/08/1983
806,763620,21/05/2014
807,330877,12/09/2007
808,507771,31/07/1998
809,666202,26/06/1987
810,562476,10/05/2014
811,501994,12/08/2011
812,476412,19/02/2003
813,111030,19/09/1985
814,448409,23/03/1984
815,6919,23/08/2000
816,702585,18/08/2012
817,136065,18/06/2000
818,332476,17/03/1970
819,63102,12/08/2010
820,582060,29/07/2008
821,747611,28/06/2015
822,422808,30/08/1996
823,975792,18/04/2008
824,177527,16/01/1997
825,93385,09/02/2005
826,837320,11/03/2006
827,781066,20/01/2019
828,52013,18/03/1990
829,780369,04/05/1993
830,24871,04/06/2006
831,448783,17/02/2009
832,62378,05/06/2019
833,885296,20/09/2003
834,430214,18/04/2005
835,786423,09/09/1999
836,806275,05/01/1981
837,464514,14/05/2002
838,309139,28/05/1982
839,247152,02/07/2017
840,970441,10/11/2012
841,751541,01/08/1996
842,690424,04/03/2017
843,841001,12/04/1998
844,684727,23/07/1986
845,565396,27/05/2018
846,98488,13/11/1996
847,254856,26/10/2017
848,139411,16/03/1974
849,950513,31/05/2009
850,918310,04/08/2019
851,581981,15/01/1977
852,237839,19/05/2000
853,63878,27/02/1994
854,741939,17/07/1963
855,111724,29/04/2011
856,34516,21/12/2017
857,209204,12/03/2018
858,986094,08/07/2017
859,858649,07/06/2019
860,984459,18/10/2018
861,843789,24/11/2008
862,549700,22/04/2013
863,633359,04/09/2014
864,547689,30/08/1999
865,236061,30/01/2007
866,224275,31/08/2019
867,861262,10/02/2010
868,876549,06/08/2012
869,398813,06/04/2005
870,272091,25/10/2014
871,780596,01/05/2004
872,71124,20/06/2014
873,835583,02/06/2014
874,538467,24/03/2016
875,841592,16/03/2018
876,477111,21/01/1990
877,680688,16/01/2005
878,135337,27/12/1971
879,681784,29/09/2010
880,714012,03/08/1988
881,562265,06/11/2016
882,308215,23/07/2010
883,886108,30/10/2017
884,963398,11/01/2006
885,736866,29/08/1976
886,339229,12/11/1974
887,209082,06/07/1962
888,805820,03/09/2012
889,806946,04/10/2006
890,362183,23/05/1980
891,773700,16/02/1988
892,464023,25/02/2006
893,982387,08/11/2009
894,937190,20/06/2003
895,960230,11/02/1966
896,941728,03/12/1966
897,72629,09/08/2007
898,275809,29/10/1980
899,453022,12/03/2019
900,295755,18/11/2009
901,188482,11/02/2016
902,914206,16/12/2009
903,713641,14/12/2017
904,239996,10/06/2019
905,356932,08/03/2001
906,5264,31/01/2017
907,311823,29/03/2018
908,731564,17/05/2003
909,544567,24/08/1980
910,84864,18/10/1997
911,522659,10/10/2007
912,659664,08/01/1960
913,871419,15/12/2015
914,584690,29/07/1990
915,864757,05/07/2019
916,623354,09/06/2013
917,987757,26/05/2019
918,245971,19/12/2017
919,751187,06/10/2007
920,800114,04/07/1963
921,959486,22/07/2007
922,102438,01/01/2003
923,432747,05/03/1998
924,13890,12/07/2002
925,282571,13/09/1974
926,402082,02/08/1960
927,353676,20/08/1985
928,84767,17/05/2016
929,238920,15/02/1998
930,509902,14/07/1999
931,656529,13/09/2004
932,562552,24/10/2012
933,981288,10/08/1986
934,204796,31/01/2009
935,244192,02/12/2013
936,592116,17/02/1983
937,984450,26/07/1990
938,705675,31/03/2004
939,986825,16/06/1998
940,821317,14/02/1956
941,55548,25/07/1999
942,645849,04/06/2019
943,811943,22/02/2019
944,359326,24/01/1999
945,783367,31/07/2019
946,853278,18/05/2017
947,31922,29/08/2011
948,314408,13/10/1981
949,11884,15/08/2011
950,591063,20/11/2003
951,412826,25/02/2000
952,196123,08/04/1991
953,319550,27/10/2017
954,134977,03/04/1963
955,500611,03/09/1981
956,728714,19/05/1996
957,780628,02/02/2003
958,727936,14/09/2015
959,431692,21/05/2016
960,599298,02/01/2008
961,538878,29/05/2016
962,915610,06/10/2018
963,212494,02/12/2005
964,392694,30/08/2017
965,981551,21/04/2019
966,778255,15/08/2011
967,802513,08/08/1982
968,152899,30/10/2018
969,201254,16/04/1995
970,675220,27/06/2015
971,792179,08/09/2006
972,834850,13/10/1994
973,756509,03/07/2009
974,103082,16/06/2018
975,785906,17/02/2011
976,454249,29/10/1951
977,706883,10/12/2018
978,994935,11/03/1974
979,540199,27/07/2013
980,73412,19/05/2019
981,922368,20/01/1964
982,771265,18/10/1995
983,352480,24/10/2010
984,879910,01/03/2013
985,764443,27/07/2013
986,798343,03/09/2015
987,270949,03/11/1997
988,512071,18/06/2017
989,768772,24/06/2017
990,865128,15/11/2018
991,986341,15/02/1959
992,533822,19/02/2008
993,516393,27/04/2005
994,853624,07/11/1971
995,741907,10/11/2011
996,257768,16/07/1998
997,568949,08/10/1992
998,704574,19/02/2006
999,144876,04/09/2001
1000,295056,13/05/2015
1001,659475,26/05/2019
1002,471535,23/06/1992
1003,233288,28/11/1995
1004,574508,16/01/2008
1005,758996,31/03/1981
1006,857307,04/06/2003
1007,868809,21/05/2013
1008,690150,01/02/2017
1009,559152,23/09/2016
1010,182445,25/06/2017
1011,778781,21/05/1971
1012,56792,02/05/2005
1013,447899,06/10/2009
1014,54224,09/01/1978
1015,403575,18/03/2019
1016,991573,17/06/2019
1017,279183,20/08/1980
1018,52424,03/02/2006
1019,282313,04/12/2011
1020,937148,02/06/2005
1021,124096,20/04/1997
1022,402973,15/12/2010
1023,509417,31/03/2001
1024,195464,06/03/1992
1025,437155,05/07/2018
1026,353696,21/07/1971
1027,311266,10/11/1994
1028,294633,01/07/1997
1029,681426,10/09/2009
1030,75668,11/09/1993
1031,765393,14/10/1982
1032,615277,27/05/1995
1033,527331,15/05/2004
1034,1694,29/07/2016
1035,685555,01/06/1982
1036,979890,17/12/2018
1037,344083,25/06/1999
1038,621649,28/06/1986
1039,871146,23/04/2018
1040,417882,26/06/2017
1041,738883,18/05/1969
1042,873988,14/06/1999
1043,664385,04/04/1954
1044,42169,01/02/1993
1045,546058,22/02/1998
1046,375721,28/08/2009
1047,872976,07/09/2013
1048,291545,08/06/1991
1049,319294,19/05/1982
1050,875432,25/07/1995
1051,967344,06/01/1990
1052,504202,20/03/2003
1053,208098,13/09/1988
1054,712212,17/04/2003
1055,331741,09/04/1996
1056,680017,02/06/2003
1057,689115,03/10/2004
1058,334768,04/06/2008
1059,728839,05/11/1996
1060,321464,28/11/1987
1061,524715,22/07/1999
1062,147792,16/06/1997
1063,80111,22/08/1986
1064,87987,27/01/1965
1065,877960,12/08/2013
1066,332343,19/09/1961
1067,314219,28/08/2015
1068,486290,29/12/1988
1069,881421,11/03/1981
1070,497367,16/03/1998
1071,253010,20/04/2008
1072,784251,10/04/1979
1073,78565,31/07/2012
1074,406715,11/06/1980
1075,278037,20/09/1994
1076,153382,21/04/2017
1077,843729,29/05/1993
1078,35413,10/08/2015
1079,374163,02/05/1997
1080,812534,26/01/2014
1081,249356,16/06/2007
1082,127560,20/04/2010
1083,247606,14/06/2012
1084,87972,04/02/1998
1085,74657,14/03/1995
1086,331608,23/09/2011
1087,7397,24/05/1972
1088,956753,27/03/1961
1089,109369,12/11/2000
1090,317717,31/03/2006
1091,482734,26/09/1996
1092,132416,02/03/1981
1093,354812,13/02/2002
1094,227390,05/08/2018
1095,371542,28/08/1982
1096,994714,28/12/1996
1097,936142,25/06/2010
1098,277248,21/10/2008
1099,316830,23/08/2019
1100,554890,27/02/2010
1101,92277,19/08/2018
1102,286157,05/10/1989
1103,812623,28/05/2009
1104,800212,03/11/2008
1105,924352,15/02/2014
1106,563486,06/03/2019
1107,772312,04/11/1981
1108,799012,29/04/1976
1109,834611,22/06/1998
1110,347067,25/02/2016
1111,437012,16/12/1980
1112,603290,10/01/2018
1113,928268,27/12/2014
1114,851711,05/06/1997
1115,519943,02/12/1978
1116,839615,20/12/1960
1117,960222,08/02/2018
1118,259034,25/03/1967
1119,227203,06/03/1992
1120,700797,21/10/2011
1121,224997,22/12/2000
1122,769920,07/07/2006
1123,172752,29/12/1993
1124,392946,01/11/1999
1125,337468,17/10/2008
1126,395418,01/07/1997
1127,249936,03/11/1988
1128,125076,30/09/2005
1129,650766,12/03/2008
1130,739922,08/10/2013
1131,736880,15/01/1981
1132,463729,05/11/1980
1133,45152,22/12/1990
1134,471220,01/02/2013
1135,26862,18/11/2018
1136,703929,27/09/2010
1137,496750,19/07/1975
1138,430391,09/07/2014
1139,831670,17/09/2014
1140,475884,18/11/2008
1141,8927,06/04/2017
1142,723144,05/12/2000
1143,933495,18/11/1988
1144,481701,19/11/2007
1145,262808,03/07/2018
1146,148768,26/02/2015
1147,362193,11/02/1996
1148,674817,19/10/2001
1149,705946,19/06/2007
1150,185204,17/08/1986
