número,status,fecha_dictamen
73886-44546-MF,0,10-08-2004
97192-64062-AO,0,02-09-2010
15045-27259-FJ,1,26-10-2017
2822-26741-BG,0,24-04-2013
74086-28599-NL,0,24-09-2014
87206-56691-GM,0,05-02-2013
27527-47716-IK,0,18-05-1998
44493-60653-BO,0,19-01-1985
65366-46587-EL,1,20-08-2017
87180-19666-IF,0,10-08-2019
72733-88690-FH,1,17-09-2017
33426-96929-BL,1,30-01-2011
74539-38234-JK,0,10-07-2014
42300-42306-GD,0,11-03-2009
99914-80641-FK,0,13-03-2002
84184-36811-OM,1,05-06-2017
93640-42901-JL,1,30-03-2014
23813-70951-DA,0,06-04-2018
13715-63027-LB,1,09-08-2019
64706-42638-JA,1,21-02-1998
40424-47863-HD,0,04-03-2019
35774-44847-IM,0,01-10-1995
4395-52016-DM,0,29-06-2011
49811-4830-BB,1,01-04-2018
84778-14286-BI,0,02-08-2002
15489-36709-BL,0,09-01-2019
44898-65648-NL,1,24-10-2016
47842-38319-FL,1,05-01-2018
70840-46159-IA,1,06-08-1996
95619-82163-MF,0,06-07-2001
77044-72351-BI,0,25-03-2018
74461-72782-EB,0,26-06-2016
16503-37302-BD,1,30-11-2011
772-77603-DB,1,10-12-1988
18642-73174-BB,0,03-02-2016
17228-3064-MM,1,22-09-2014
27069-62591-KF,1,15-11-2014
46089-64886-FD,0,28-03-2009
3745-30024-FG,1,08-05-2019
77927-41652-AE,1,19-07-2019
99473-82631-BE,0,27-08-2019
46312-65664-OI,0,07-04-2018
90429-36681-LM,1,13-02-2016
56670-69690-NE,1,27-02-2018
94976-35914-BB,0,16-03-2005
53700-56432-IB,1,23-04-2013
87920-12322-GM,0,06-09-2011
95580-80242-AG,1,06-01-2016
75641-27577-KE,0,17-06-2017
11698-17269-GG,1,20-01-2012
70803-2500-FA,1,12-08-2019
73341-28996-HD,0,01-04-2004
37724-4760-EE,1,12-04-2018
29414-34696-KF,0,22-07-2014
37166-48188-KE,0,02-08-2019
51806-27866-EI,1,29-12-1999
76889-13160-GM,0,31-10-1997
83687-78588-BF,1,04-08-2000
40525-27952-FH,1,11-01-2005
87079-72213-HH,1,10-08-2018
34823-55667-OO,1,11-08-2017
57366-40429-DK,1,14-03-2018
50662-64907-DB,1,09-11-2005
18261-63848-NB,0,04-12-2011
46357-59986-GB,0,31-01-2017
23413-42861-IJ,1,26-07-2018
37480-31228-AO,0,08-04-2017
61983-62485-LB,0,30-12-2018
28904-6829-DK,0,26-06-2019
58413-913-LB,0,09-10-1988
99665-71158-BK,1,26-10-2011
57206-54530-DD,1,22-05-2007
78898-94927-BN,0,12-10-1992
22773-32540-GK,1,02-08-2019
54323-48069-BB,1,27-07-2018
92680-33292-ID,0,30-07-2009
54320-63443-IG,0,23-12-1984
25560-62492-IF,0,17-05-2019
34379-59717-IF,0,13-12-2012
84402-80852-OF,0,14-04-2002
19834-44866-KH,1,13-10-2017
70956-36162-DE,1,03-02-2018
33429-60129-JB,0,02-05-2016
35514-43848-JL,0,28-11-2009
25251-67670-BJ,0,18-11-2016
56452-53818-KL,1,02-06-1995
74760-34547-AM,1,07-08-1989
79002-3443-MF,0,07-04-2019
73255-18796-LG,0,12-06-2019
9382-11896-GJ,1,10-06-2018
86035-37342-LK,1,24-12-2009
13118-46964-NG,0,12-01-2013
87267-3789-AN,0,18-05-2018
54666-43312-HG,1,08-04-2017
91497-47373-AM,0,07-09-2015
22449-69777-OL,0,25-09-1974
66157-28678-DB,0,26-02-2017
72791-38993-ME,0,28-06-2019
54255-53453-LH,1,10-12-2018
65594-17989-BA,1,29-07-2007
5606-48994-GG,1,14-03-2015
8832-44419-GO,0,16-02-2018
40701-75051-OF,1,24-05-2019
54278-71074-LM,0,02-08-2015
78658-80170-BA,0,13-09-2013
25421-78810-EI,0,24-10-2012
29342-43591-EJ,0,09-02-2015
81320-70549-ED,0,15-05-1973
89035-78027-BK,0,04-12-2012
77544-16087-ND,0,08-05-2014
52271-62239-NA,0,25-04-1987
49914-18228-EO,1,20-03-2010
53092-57870-IK,1,19-07-2016
82175-37613-NA,0,09-07-1989
46636-91960-GI,0,13-01-2007
9775-26500-DB,0,09-11-2015
22519-82571-EB,0,31-12-2018
75370-89021-KJ,0,16-02-2019
37596-86844-LJ,0,20-11-2009
6152-92269-OF,0,10-03-1992
88027-9716-IG,1,12-04-2016
70903-65750-FN,0,30-03-2018
26633-65881-KM,0,18-08-2012
97380-26930-JD,1,08-09-2017
16076-75777-HG,0,30-01-2014
11641-34307-IJ,1,07-06-2018
25509-30252-GB,0,12-11-2017
73320-42264-KK,1,25-12-2007
40868-84822-MB,1,09-10-2012
47853-21136-BD,1,02-09-2006
90211-78689-NG,0,26-08-2019
1599-59083-NL,0,20-09-2000
98510-75106-MB,1,30-03-1999
78386-7425-LB,0,20-05-2019
37911-51049-GB,0,17-02-2018
85214-87335-HK,0,16-08-2019
83333-17784-OI,1,24-10-1991
26458-21930-AO,0,02-05-2017
43980-91445-GF,1,11-11-2015
3186-41407-HD,1,09-07-2019
48895-50224-BO,1,06-05-2019
39077-17093-IO,0,01-11-2016
95639-66226-KA,0,13-01-2002
66203-16639-HB,1,25-05-2018
18723-61185-NL,0,11-02-2018
41719-34380-HN,1,14-01-2012
1671-13940-FB,1,27-10-1992
47987-72458-NA,0,07-10-2018
227-34265-AJ,0,22-01-2018
68232-33256-BE,0,22-10-2011
37574-50937-IO,0,15-05-2017
16168-65139-HL,1,12-03-2017
70909-4295-FI,0,11-04-2017
54728-45409-MH,0,11-08-1997
50212-33116-MJ,0,10-06-2009
65076-92515-FA,1,08-07-2017
1870-81037-GN,0,20-04-2013
7778-81018-OO,0,17-09-2015
46798-97702-AB,0,11-05-2009
60125-88020-EJ,1,07-08-1995
23331-39321-EA,0,04-04-2019
8847-70563-GA,1,16-06-2016
78927-34906-AF,1,03-12-2013
76002-31884-HB,1,07-02-2011
22419-89006-MN,1,15-05-2009
24676-34240-MD,0,15-11-2018
58039-4526-DN,0,05-01-1980
24514-730-FM,0,06-03-2016
23788-66193-BD,0,03-05-2018
5201-79340-GL,0,11-03-2019
31390-10675-JI,1,17-06-1990
79438-70598-OA,1,10-05-1999
17949-48556-JA,0,23-07-2017
73862-79566-NH,0,02-05-2018
14105-17965-NF,1,21-09-2018
79531-56651-LH,0,17-02-2008
14031-50854-DI,1,30-12-1969
92571-15775-IG,1,26-11-2009
28515-47758-HA,1,26-12-2015
66801-89792-MN,0,23-11-2016
5332-26842-JN,0,05-08-2019
19997-23211-BK,1,15-06-1985
22684-50841-DL,1,14-05-2003
74518-75950-BE,1,20-10-2007
41314-95451-KA,0,05-03-1993
88280-15844-GF,0,04-03-2019
89113-30145-NE,1,27-02-2019
20495-64198-KA,1,08-05-2016
31612-27030-GN,1,25-12-2012
56633-55074-MH,0,29-08-2015
99687-54592-NF,1,28-03-2018
88104-35890-NB,0,08-06-2017
73598-14413-EL,1,04-04-2016
24053-31033-EH,1,15-02-1996
17636-7621-BE,1,25-03-2005
87414-9611-GL,1,31-07-2014
45806-17701-BD,0,09-05-1999
47238-166-AO,1,25-07-2013
97851-38763-KB,1,17-07-2018
23059-52229-IO,1,31-10-2014
59766-622-AD,0,08-01-1996
73961-74990-OI,0,19-09-1997
38445-14261-KI,0,16-05-2017
8408-55431-HD,0,19-08-2011
58310-81724-EM,0,03-01-2015
38317-81420-LK,0,06-07-2016
13113-91204-IB,1,04-08-2010
88355-75891-DO,0,01-12-2006
18375-32934-HA,0,17-02-2019
43937-17188-FK,1,10-08-2012
84781-76951-OM,1,16-08-2014
40917-85780-OG,0,03-01-2011
22569-85132-EO,0,18-01-2019
25648-25070-ML,1,16-05-2019
62210-85464-BE,0,03-03-2005
81340-3193-BF,1,27-01-1994
69702-57651-GF,0,07-05-2019
20294-68376-MI,0,12-07-2014
62438-58719-ID,0,20-11-2010
98872-17698-DB,1,27-10-1995
87345-98996-FN,0,12-07-1989
61716-54477-GH,0,05-05-1996
35747-61648-GI,0,31-05-2015
91609-9651-NA,0,14-09-2015
29882-86331-BE,1,04-11-2003
67925-92389-AM,1,12-01-2013
63632-88004-NO,0,19-03-1973
36238-26381-HE,1,10-04-2004
4436-2326-IK,0,22-08-2018
5930-54688-NB,0,12-05-2017
23452-61348-AE,1,24-06-2018
86127-94020-IG,0,07-03-2018
15117-86590-BE,1,30-08-2019
52501-35380-BA,0,04-05-2019
10297-96037-NB,0,04-01-2019
18699-22073-FF,1,24-03-2010
39740-33960-AE,0,13-06-2019
73187-45555-LG,1,01-04-2015
18030-36968-NJ,1,27-05-2019
93856-11256-BG,1,17-04-2007
2253-23657-AK,1,29-04-2019
92284-59559-KK,0,23-08-2019
72863-84806-KE,0,24-03-2018
54164-4511-DB,0,27-09-1998
51938-21205-OJ,0,10-07-1996
40946-82076-LO,0,27-05-2015
43995-44394-MM,1,28-07-2018
53774-66575-MB,0,08-05-2018
67830-43035-BN,1,02-07-2014
71513-92419-OA,1,20-05-1999
3586-19278-BL,1,16-02-2019
21728-78263-KG,1,23-07-2016
86680-48983-OI,0,31-07-2003
53761-16248-JH,0,24-02-2011
79431-80670-LF,0,14-11-1990
46358-99061-OO,1,11-04-1994
67745-25836-HO,1,17-02-2019
78766-65377-ML,0,04-10-2017
1889-67972-MO,1,21-08-2016
21780-67227-EE,0,30-04-2018
63996-26058-DI,0,07-07-2019
92065-31029-BA,1,08-12-2016
55755-56717-BD,0,29-01-1999
67349-49899-HF,0,25-02-2006
15499-11395-BK,0,01-02-1971
78952-5907-EF,1,23-04-2014
39898-58963-LH,1,22-10-2010
17765-54876-GE,0,01-05-2017
31087-51550-DK,0,17-08-2019
75190-29365-KA,0,26-08-2009
11196-6830-JF,1,26-04-2002
53633-38143-FO,0,27-01-2016
87545-5148-DM,1,12-03-2012
22793-36725-DH,1,07-09-1997
5880-50821-KB,1,06-04-2019
34887-50690-FJ,1,25-08-2004
36124-42584-BH,0,14-09-2016
30892-82624-LH,0,10-07-1993
46213-77123-AI,1,23-01-2010
69260-49230-DD,0,02-12-2008
13827-22125-NI,0,12-04-2018
77091-52112-BB,1,03-04-1994
16561-56709-DI,0,11-12-2018
19133-4266-FO,0,09-01-2017
23260-58469-BG,0,22-01-1992
12661-73432-IE,1,21-02-2007
26031-677-MB,0,25-10-2007
92732-20240-NA,0,12-04-2009
83612-36874-EN,0,05-12-2018
32735-96762-FJ,0,14-03-2016
87973-82136-BB,1,18-01-2015
55320-17047-BA,1,16-09-2012
16834-16078-EA,1,10-07-1995
95677-87702-IA,0,01-11-1985
76674-16027-NJ,0,04-01-2016
17173-54488-OA,0,29-06-2019
99503-33039-MA,0,26-11-1995
28177-20876-EB,1,12-05-1982
15963-32663-FD,0,16-06-2010
26116-55035-KB,1,27-04-2015
90077-64093-FF,0,13-05-2013
3831-95115-IE,0,03-07-2006
47014-81990-AK,0,27-03-2011
13216-18575-KH,0,12-04-2019
42444-63954-DD,0,29-06-2015
75054-76434-NE,0,05-02-2015
56899-69529-BN,1,20-04-2019
46288-28815-LH,0,24-09-2008
52159-40798-EB,1,24-01-2000
60866-18656-FB,1,26-01-2007
12342-9658-LH,1,04-02-1995
60817-10105-GE,1,24-11-2008
18743-65639-BO,1,15-07-2018
71959-72466-AO,0,16-06-2014
59332-18424-DA,1,09-08-2019
81752-96365-GD,1,11-04-2018
5639-16870-MB,0,20-10-2013
77633-50657-DA,1,26-04-2013
25599-34576-AE,1,23-08-2015
29657-4103-IF,0,14-11-2011
49688-92691-FE,0,18-08-2019
70137-56890-HN,0,21-08-2013
68856-40737-NK,0,22-09-2001
82195-14046-LO,1,08-12-2016
28600-8488-HJ,1,30-06-2002
56647-42502-AD,0,12-01-2018
60038-57619-BO,0,28-06-2019
15914-82677-BI,0,03-07-2019
35182-19831-HH,0,06-05-2000
47444-41443-FH,0,13-11-1996
7934-32949-KE,0,12-06-2010
67183-7387-FA,1,16-03-1994
86588-91383-JD,0,05-01-2000
61597-66009-IM,0,22-09-2011
46320-8513-NN,0,06-03-2016
87829-17879-BM,1,07-01-1985
19257-66234-EB,0,11-12-2010
67525-44905-OA,1,30-10-2017
7895-68461-OJ,1,27-07-2004
33633-19647-OL,0,24-11-2011
79161-17288-BA,1,02-06-1999
84644-52766-KF,1,25-04-2009
70381-51138-OM,0,15-10-1994
86037-18059-MO,0,02-07-2014
8999-42371-AH,1,26-06-2001
1899-25603-MN,1,25-09-1984
88641-24696-GO,1,05-05-2016
70434-40618-BA,1,25-11-2017
99640-97447-FG,1,13-03-2019
98130-23480-OA,1,27-08-2019
96548-74673-HO,0,03-12-2017
92749-97770-BO,1,14-10-2018
41319-78582-JM,1,03-12-2018
76011-68346-EO,1,22-09-2018
52841-57823-ID,0,23-08-2018
52530-31141-LE,1,27-07-1999
65722-41979-AG,0,16-10-2017
14765-40161-KM,0,06-02-2019
43480-26468-BA,1,25-09-1993
30720-19511-BF,1,16-11-2010
43266-80914-GA,0,31-01-2012
89011-68127-KK,0,30-06-2002
84411-45006-KK,0,14-10-2017
93424-71561-BO,0,26-08-2018
36287-34715-HF,1,03-05-2010
33685-28233-DO,1,23-03-1995
34427-80802-KN,1,06-12-2014
83406-55486-LK,0,02-03-2019
11290-61850-GE,1,03-04-2019
52881-82973-BJ,0,11-03-2012
19385-82093-AJ,1,23-04-2011
29511-32952-MN,0,20-08-2019
52215-90963-JD,1,14-12-2018
2293-10939-DN,0,06-09-2011
92749-43026-BG,1,20-11-1992
7396-80687-GK,1,31-03-2019
46858-46602-BJ,1,28-09-2004
9690-71077-NB,0,30-04-2016
96415-12979-DK,1,23-07-2001
4482-90530-OM,1,18-10-1997
23089-62116-DM,0,31-05-2002
98898-88465-FL,0,09-03-1975
74555-7557-JA,1,08-07-2017
59481-17423-DG,1,30-01-2018
52815-71131-LO,0,01-08-2019
72601-12798-BI,0,01-01-2000
57419-14597-HO,0,26-05-2019
54082-25486-JA,0,01-07-1998
58490-29388-BO,0,28-08-2019
73973-45133-HF,1,21-12-1995
5077-87269-FA,0,16-08-2008
4107-17683-AE,0,08-09-2018
45760-84407-HB,0,26-06-2013
65891-21432-OD,1,29-12-2018
81498-13737-NL,1,12-10-2017
15773-43001-OK,1,24-06-2017
1048-1576-JF,0,22-10-2000
56348-90944-BB,0,08-01-2013
65662-54822-OH,1,13-02-2017
95297-81760-LN,0,02-04-2015
74819-3605-AK,0,29-12-2005
20124-29706-DL,0,16-05-2007
43773-38360-HO,0,22-04-2018
72493-29886-KH,1,25-06-2004
81142-59386-ME,1,11-05-1982
77610-37-OB,0,06-08-2019
98968-29143-IJ,1,14-09-2018
26953-83996-KE,0,30-07-2018
16279-75937-JI,0,02-09-2018
59350-46142-KJ,0,20-05-2010
13773-15136-HB,1,30-05-2009
6375-82595-HF,0,25-12-2013
86908-27228-HH,0,02-05-2019
93213-15506-GL,0,21-07-2018
44625-48291-GA,0,24-08-2007
76442-80743-HL,1,24-09-2012
29354-32901-NI,1,27-12-2015
14477-18964-OD,0,26-12-2014
54619-8930-BG,0,17-03-1991
66478-4933-NG,1,21-08-2017
22979-99943-MO,1,05-07-2011
18961-97544-KD,1,24-05-2019
85856-95158-MB,1,05-09-1985
34083-71049-OO,0,16-05-2007
29318-34865-EA,1,01-10-2003
97840-52918-NK,0,28-07-2017
89847-59126-NN,1,01-02-2017
91562-88497-KE,0,11-08-2019
46699-75218-ED,0,04-03-2018
7348-34541-HB,0,06-02-2000
56369-8332-AD,0,04-05-2002
17958-3267-NG,1,17-10-2015
55181-77178-LN,0,08-08-1997
56713-62803-AE,1,01-06-2019
13253-98183-EB,0,08-06-2008
35476-37213-FG,1,03-09-2012
17793-70475-NF,1,20-06-2015
53776-85965-NG,1,27-06-2019
8700-73071-MD,0,27-02-2012
71811-42782-MH,1,03-11-2017
98474-86225-KD,0,16-07-2016
89437-87142-BI,1,11-08-2019
51263-79843-MB,1,20-06-2019
34737-17127-ED,1,20-11-2009
36098-1854-HO,1,15-05-2015
65658-26378-JJ,0,24-08-2019
90919-23833-FK,0,12-02-1997
72208-78137-JA,1,08-05-2019
63620-41909-BG,0,01-02-2017
51912-87752-LL,0,08-02-1982
20204-52986-HD,0,16-08-1996
69099-63486-KE,1,30-11-2018
73402-78680-HF,0,19-01-2011
37170-9166-BI,0,31-05-2017
44872-57274-HI,0,20-04-2016
90758-65896-BD,0,08-07-2019
94831-48106-HL,0,23-02-1975
49854-87732-AK,1,28-05-2006
50645-69919-DM,1,01-03-2017
12290-64424-OE,1,28-07-2017
91571-60062-AN,1,01-12-2009
88995-64668-IA,0,25-10-1999
17638-67276-NH,1,16-06-1997
89603-37807-HG,1,13-03-2018
40743-10883-DB,1,13-09-1994
51697-44766-EA,0,07-08-2016
51819-80058-KF,0,01-08-2019
77898-10604-IG,1,06-10-2016
16073-21902-BH,1,03-07-2019
9310-48628-FL,1,06-05-2017
81341-44442-OF,1,12-01-2011
50894-3795-JE,1,03-01-2003
36513-64327-AE,1,22-11-2015
68565-94447-LJ,0,25-05-2014
23329-59331-OA,0,18-04-2015
33410-42093-IJ,1,16-05-2014
30056-17350-BH,1,21-06-2018
84813-42647-FD,1,08-08-2018
92474-66064-NN,0,17-01-2010
54701-95462-GL,0,02-07-2019
45370-75523-OG,0,07-05-1988
30961-40858-OB,1,04-10-2016
78396-28833-JO,0,18-12-2006
44024-84022-IE,1,04-08-2016
39079-20547-AH,0,25-08-2018
51790-65795-GE,1,25-07-2019
57835-44880-DE,0,29-06-2004
79292-20475-GB,0,03-10-2011
86066-53347-FF,0,18-12-2003
36234-19203-FN,1,10-08-1990
78884-56156-FK,1,07-07-1996
37715-61674-AA,0,03-10-2008
78230-5797-EG,0,25-04-2019
50340-35367-JB,0,25-04-1995
51430-61935-AI,0,22-12-2015
27689-72567-DG,0,08-03-1991
38745-62800-KH,0,18-07-1995
50150-12462-HG,1,14-05-2017
64372-18798-IO,0,03-04-2019
97475-36107-AF,1,03-07-2016
64269-40017-NM,1,26-06-2016
4499-73289-OM,1,03-04-2019
86519-31611-HH,1,24-02-2019
17381-45899-LF,1,03-06-2013
88293-52542-NL,0,16-06-1989
59600-64091-JH,1,17-09-2009
80705-74676-LH,1,25-08-2011
16515-59243-NI,0,14-08-2018
38116-72701-HF,0,03-12-2004
51834-24227-NE,0,11-11-2014
5458-21013-DH,0,03-01-1995
20647-69613-FH,0,05-01-2019
92860-70226-OJ,0,13-02-2015
25275-20504-JH,1,14-08-2014
2241-19669-KO,1,24-03-2016
53724-36122-MJ,1,06-02-1976
45573-95932-JN,0,16-10-2003
65074-9664-HE,1,23-05-2017
9928-48956-MN,1,30-10-2018
627-72034-IG,1,21-09-2014
88772-82934-NE,0,04-02-1992
6373-70087-BL,1,23-11-2017
93791-83240-HJ,0,12-01-1992
80360-65941-FE,1,29-08-2012
65927-69316-DN,1,13-01-2014
32881-41955-EB,1,19-04-2012
37913-38544-OH,1,18-02-2010
76268-80945-IL,1,23-07-1985
5713-97437-OJ,0,21-04-2019
62213-81405-NF,0,18-01-2006
99845-58699-BJ,1,18-05-2019
42478-49124-AN,1,07-07-2014
93953-82782-DB,1,08-07-2019
83283-93109-OL,0,23-03-2019
6127-42377-BN,1,29-07-2019
7095-36191-ME,0,07-04-2018
90868-18488-LL,0,17-11-2016
81871-20219-GL,1,08-04-1987
58606-60079-MF,0,30-09-1964
55323-42065-DI,1,15-08-2018
83990-6923-MO,1,09-06-2012
11539-58111-OJ,1,15-12-2014
54742-21401-DK,1,16-07-2017
61635-66510-BG,1,27-01-2015
84159-43996-GK,0,26-10-2002
9259-38806-AG,0,08-11-2009
61434-62529-BG,1,13-11-2018
42677-98248-FO,1,07-08-2019
78264-43001-OM,1,12-04-2007
6474-21852-BE,1,01-08-2012
1944-7535-GO,0,25-08-2018
56250-67092-MI,0,27-07-2018
99285-71398-MG,0,12-07-2018
15957-37860-GM,1,14-12-2016
79367-34965-IE,0,28-11-2018
30762-38914-FH,0,27-01-2015
99050-85831-MB,0,10-03-2001
74972-39603-EA,0,03-07-2019
92868-98666-BA,1,29-11-2010
40575-28667-MB,1,02-08-2018
83099-69985-IB,1,31-03-2001
55066-89137-HM,0,07-11-1981
11270-2133-FH,1,05-07-2010
13928-22629-FB,0,02-03-2011
19384-33754-BH,0,30-10-2016
32926-46394-JE,1,29-06-1990
7167-17071-MN,1,07-04-2019
64620-8221-FJ,0,31-12-2016
23374-78536-DO,1,15-04-2019
42463-43806-OE,0,28-05-2010
87810-14844-DB,1,16-06-2017
16533-76720-MH,0,15-11-1980
34741-49101-BF,0,07-04-2007
66675-71715-BK,0,14-04-1996
28103-76944-KH,1,23-03-2017
49632-29899-JF,0,20-01-2009
80831-10898-OB,0,26-09-2018
74126-66371-JI,0,16-04-2019
42079-71220-AD,0,30-01-1985
55822-89358-FA,0,03-11-2016
45400-95000-LA,0,14-11-2011
593-44993-FL,0,27-08-2007
74908-74287-MA,0,26-07-2016
68053-97395-FD,0,25-07-2013
99171-9954-BB,1,10-08-2019
13895-63098-IK,1,13-03-2002
66909-90749-AB,1,19-11-2016
69323-85816-OK,0,04-05-2000
98529-94758-LO,1,09-10-2017
44524-25058-NJ,0,12-04-1979
76798-23292-AB,1,04-03-2016
19624-68429-AD,0,10-01-2006
28734-47339-DN,0,27-03-2009
24125-69062-GB,1,26-04-2010
12463-74756-OK,0,05-08-2012
98660-42691-BE,0,13-11-2013
38311-99894-BK,1,22-12-2005
62899-24509-ED,1,09-01-2015
4718-65867-EH,0,14-03-2019
71102-84728-BI,1,19-08-1980
8888-17823-GI,0,31-07-2015
67941-60681-KO,0,21-11-2006
35988-7921-JJ,1,11-12-2006
15977-36241-IN,0,15-06-2017
43122-15728-NK,0,22-06-2019
44981-38533-LD,0,13-04-2015
11404-18024-ED,0,07-10-2018
92834-37077-OB,1,13-08-2012
69321-62174-ND,0,29-01-2015
74004-40384-EK,0,02-09-2012
83533-17169-KN,1,18-05-2001
58071-52208-GH,0,26-01-2018
7723-90720-OI,0,02-09-2005
70249-38591-EJ,1,08-10-2009
7861-64489-HD,1,24-08-2016
13031-52833-NE,1,06-03-2009
84650-95169-LJ,0,22-02-2017
69134-80125-LH,0,02-03-2016
25089-20410-MG,0,30-10-2018
22461-25450-BL,0,20-12-2011
75385-1995-LD,1,23-05-1993
28274-75799-JO,0,18-03-2019
56403-12644-EE,0,18-12-2007
7061-11023-MM,1,11-01-2013
18039-81824-HE,1,12-02-2016
33604-85591-IK,0,01-12-1984
94797-74575-NB,0,28-06-2016
93676-51807-DB,0,04-09-2012
70749-61958-HD,0,20-05-2017
72218-3486-MK,0,08-11-2004
3708-51080-GJ,1,10-01-2015
51771-80123-AH,1,10-04-2016
15164-97027-OO,1,10-07-2018
44238-3344-OI,1,29-09-1992
99564-43306-DL,0,03-01-2006
34133-73251-KM,0,26-05-2019
38970-67822-GF,1,19-09-1999
9342-20465-BG,0,03-11-2016
31626-77108-EK,1,24-06-2019
66681-53911-ND,1,24-07-2015
3083-47182-NJ,1,24-08-2018
96020-37281-BB,1,08-07-2007
9640-80669-JF,1,20-11-2007
45301-5241-KN,1,18-06-2018
76701-8930-NN,0,13-02-2017
1905-18221-JK,0,09-09-2013
44446-31481-MH,0,01-05-2001
9318-58427-OO,1,10-04-1970
19595-17583-NH,0,08-12-2017
95669-48059-EM,1,05-05-2014
45866-66756-NE,1,08-11-2018
98348-3410-JD,0,22-01-2014
51361-54213-OE,0,29-04-2014
2241-5253-LF,0,02-01-2014
80023-68097-BL,1,17-08-2019
98595-48855-AK,0,21-12-2007
29746-47101-FG,1,23-07-2011
5804-50964-EH,1,27-01-2018
76953-39705-NL,0,13-07-2001
60419-16793-MM,1,30-11-1996
67830-77768-DE,1,13-06-2012
70045-98822-IB,0,17-02-2019
39462-56107-OL,0,26-05-2007
25616-91210-ND,1,16-12-1979
3766-5360-DO,0,04-08-2019
9147-12886-LN,1,02-03-1999
30266-91675-FD,0,28-06-2016
55560-33894-HH,1,08-08-2019
75816-16353-DN,0,07-01-2019
76900-62477-FL,1,20-08-2019
61624-77739-OA,1,28-08-2019
66318-85726-DL,0,03-08-2012
97354-21849-GM,1,04-09-2000
1021-7552-LM,0,27-05-2011
19827-99829-OE,1,12-09-2014
1266-8494-BN,1,28-07-2000
18789-77918-AG,0,30-10-2018
62572-15879-HA,1,15-09-2018
88397-27653-IF,0,21-12-1975
92926-6350-NN,1,15-11-2005
34916-7036-LG,1,08-10-2017
77576-57730-HB,1,28-07-2019
41942-48829-AI,0,11-11-2017
50540-22674-DE,1,05-07-2015
83466-61663-MJ,0,15-07-2019
6510-90921-MG,1,06-12-1994
28300-79864-JF,0,03-02-1980
88629-72465-LL,1,15-12-2000
22464-93626-AO,0,30-03-2000
29658-97131-IB,0,17-06-2002
