mid,proyecto
8256,China Cord Blood Corporation
8257,"India Fund, Inc. (The)"
8258,Collahuasi
8259,Quiborax - Ascotán
8260,Cabot Corporation
8261,San Gerónimo
8262,Trongol
8263,Limoneira Co
8264,Bed Bath & Beyond Inc.
8265,Kraton Corporation
8266,"Blackhawk Network Holdings, Inc."
8267,PTC Inc.
8268,"Hawkins, Inc."
8269,Bronce de Petorca
8270,EQT Corporation
8271,"Ashford Hospitality Prime, Inc."
8272,El Abra
8273,El Morro
8274,El Toqui
8275,"Littelfuse, Inc."
8276,Torchmark Corporation
8277,Western Alliance Bancorporation
8278,El Tesoro
8279,"Delcath Systems, Inc."
8280,"Cyclacel Pharmaceuticals, Inc."
8281,KT Corporation
8282,"Apple Hospitality REIT, Inc."
8283,"RiverNorth Opportunities Fund, Inc."
8284,Faride
8285,Peckett
8286,Kraton Corporation
8287,Lions Gate Entertainment Corporation
8288,Ministro Hales
8289,Silvercrest Asset Management Group Inc.
8290,Collahuasi
8291,Ministro Hales
8292,Jazz Pharmaceuticals plc
8293,"MiMedx Group, Inc"
8294,Mantos Blancos
8295,Eaton Vance Corporation
8296,Vina Concha Y Toro
8297,"RiverNorth Opportunities Fund, Inc."
8298,"Ellie Mae, Inc."
8299,Chimborazo
8300,La Pepa
8301,Delta
8302,"Under Armour, Inc."
8303,Johnson & Johnson
8304,Julia
8305,"Diamond Hill Investment Group, Inc."
8306,Toll Brothers Inc.
8307,Sierra Miranda
8308,"Zynerba Pharmaceuticals, Inc."
8309,"CenterPoint Energy, Inc."
8310,Dynatronics Corporation
8311,"Texas Capital Bancshares, Inc."
8312,Los Pelambres
8313,Isla Guarello
8314,Los Pelambres
8315,Natl Westminster Pfd
8316,Jerónimo
8317,"Forterra, Inc."
8318,PrimeEnergy Corporation
8319,BRF S.A.
8320,"Biocept, Inc."
8321,Carvana Co.
8322,Mantos Blancos
8323,El Morro
8324,"India Fund, Inc. (The)"
8325,Inacesa - El Way
8326,"Blackhawk Network Holdings, Inc."
8327,El Volcán
8328,Mackinac Financial Corporation
8329,Andes Travertine
8330,Diageo plc
8331,Gabriela Mistral
8332,Kraton Corporation
8333,Victoria
8334,CVS Health Corporation
8335,Las Luces
8336,"Fiserv, Inc."
8337,Aircastle Limited
8338,Novelion Therapeutics Inc.
8339,SQM - Nueva Victoria
8340,Zion Oil & Gas Inc
8341,Fair Isaac Corporation
8342,Terreno Realty Corporation
8343,"Financial Engines, Inc."
8344,"Cleveland BioLabs, Inc."
8345,Lambert
8346,Caserones
8347,ENGlobal Corporation
8348,Jerónimo
8349,La Picarda
8350,Manantial
8351,Punta de Lobos - Kanita
8352,Novelion Therapeutics Inc.
8353,"Ulta Beauty, Inc."
8354,Bronce de Petorca
8355,"FSB Bancorp, Inc."
8356,Mantos Blancos
8357,"Safe Bulkers, Inc"
8358,PowerShares BuyBack Achievers Portfolio
8359,Unisys Corporation
8360,Abeona Therapeutics Inc.
8361,La Patagua
8362,"Cyclacel Pharmaceuticals, Inc."
8363,"Gray Television, Inc."
8364,"Investors Bancorp, Inc."
8365,"Dynex Capital, Inc."
8366,Maganeso III de Atacama
8367,Entercom Communications Corporation
8368,Flor de Los Andes
8369,Microsemi Corporation
8370,Refugio
8371,SQM - Nueva Victoria
8372,"TC PipeLines, LP"
8373,Manto Verde
8374,"Aspen Technology, Inc."
8375,"Dynex Capital, Inc."
8376,"Portola Pharmaceuticals, Inc."
8377,"Adams Diversified Equity Fund, Inc."
8378,El Teniente
8379,Yahoo! Inc.
8380,Eagle Bulk Shipping Inc.
8381,Celgene Corporation
8382,III de Atacama Minerals - Aguas Blancas
8383,Lota
8384,Cerro Bayo
8385,First Trust Emerging Markets Small Cap AlphaDEX Fund
8386,Voya Global Equity Dividend and Premium Opportunity Fund
8387,"MasTec, Inc."
8388,Cerro Blanco
8389,Andes Travertine
8390,"Western New England Bancorp, Inc."
8391,Toll Brothers Inc.
8392,El Salvador
8393,Orbotech Ltd.
8394,"Waste Management, Inc."
8395,Entegra Financial Corp.
8396,Kamada Ltd.
8397,Kraton Corporation
8398,"Adams Diversified Equity Fund, Inc."
8399,"Waste Management, Inc."
8400,Chimborazo
8401,Cóndor
8402,ACF - Lagunas
8403,E*TRADE Financial Corporation
8404,Don Alberto
8405,CMP - Los Colorados
8406,Data Processing
8407,"International Seaways, Inc."
8408,China Mobile (Hong Kong) Ltd.
8409,El Abra
8410,Sierra Gorda
8411,Candelaria
8412,"Arista Networks, Inc."
8413,Brookfield Global Listed Infrastructure Income Fund
8414,"Diamond Hill Investment Group, Inc."
8415,CMP - Romeral
8416,Jerónimo
8417,L.B. Foster Company
8418,Northrop Grumman Corporation
8419,La Perla
8420,Cerro Casale
8421,HollyFrontier Corporation
8422,Mantos Blancos
8423,Esperanza
8424,Lenga
8425,SQM - Nueva Victoria
8426,"FSB Bancorp, Inc."
8427,"Evolving Systems, Inc."
8428,Mackinac Financial Corporation
8429,"Silicon Laboratories, Inc."
8430,Fair Isaac Corporation
8431,Terreno Realty Corporation
8432,"JA Solar Holdings, Co., Ltd."
8433,Refugio
8434,Montecristo
8435,Neff Corporation
8436,"Everspin Technologies, Inc."
8437,Terreno Realty Corporation
8438,Great Elm Capital Corp.
8439,El Salvador
8440,Orbotech Ltd.
8441,"Portola Pharmaceuticals, Inc."
8442,CVS Health Corporation
8443,"International Seaways, Inc."
8444,Coirón
8445,El Morro
8446,El Soldado
8447,Global Partner Acquisition Corp.
8448,"HCA Healthcare, Inc."
8449,"Herman Miller, Inc."
8450,"National American University Holdings, Inc."
8451,Northern Trust Corporation
8452,Quiborax - Ascotán
8453,El Teniente
8454,Array BioPharma Inc.
8455,E.I. du Pont de Nemours and Company
8456,Lions Gate Entertainment Corporation
8457,Park-Ohio Holdings Corp.
8458,"Sierra Oncology, Inc."
8459,"UMH Properties, Inc."
8460,"India Fund, Inc. (The)"
8461,"Spark Energy, Inc."
8462,"Waste Management, Inc."
8463,PowerShares Nasdaq Internet Portfolio
8464,Arlington Asset Investment Corp
8465,Johnson & Johnson
8466,Container Store (The)
8467,Marte Lobo
8468,"China Lodging Group, Limited"
8469,"Ashford Hospitality Prime, Inc."
8470,SQM - Nueva Victoria
8471,The Community Financial Corporation
8472,"Clear Channel Outdoor Holdings, Inc."
8473,KT Corporation
8474,EQT Corporation
8475,Celgene Corporation
8476,"CatchMark Timber Trust, Inc."
8477,Gabriela Mistral
8478,Tuina
8479,Lenga
8480,Schwager
8481,"National American University Holdings, Inc."
8482,Azul S.A.
8483,"Western Refining Logistics, LP"
8484,"Avon Products, Inc."
8485,Nabriva Therapeutics AG
8486,Ministro Hales
8487,Sierra Miranda
8488,PowerShares Nasdaq Internet Portfolio
8489,CMP - Cerro Negro Norte
8490,GlaxoSmithKline PLC
8491,Tekla Healthcare Opportunies Fund
8492,Pullalli
8493,"The Travelers Companies, Inc."
8494,Credit Acceptance Corporation
8495,Dos Amigos
8496,"FTI Consulting, Inc."
8497,Diana Shipping inc.
8498,Great Plains Energy Inc
8499,"Investors Bancorp, Inc."
8500,Cordillera - Tenardita
8501,"Herman Miller, Inc."
8502,Celite - Tana
8503,Inseego Corp.
8504,ENGlobal Corporation
8505,"Avon Products, Inc."
8506,Vina Concha Y Toro
8507,3M Company
8508,Garrison Capital Inc.
8509,Alhué
8510,L.B. Foster Company
8511,"Ulta Beauty, Inc."
8512,SL Green Realty Corporation
8513,El Peñón
8514,Georgia Power Company
8515,SL Green Realty Corporation
8516,Celgene Corporation
8517,"LM Funding America, Inc."
8518,"Spark Energy, Inc."
8519,Catamutún
8520,"Ashford Hospitality Prime, Inc."
8521,AGCO Corporation
8522,Don Alberto
8523,Marte Lobo
8524,Arch Capital Group Ltd.
8525,Colico Sur
8526,Tata Motors Ltd
8527,PowerShares BuyBack Achievers Portfolio
8528,Catamutún
8529,Cohen & Steers Reit and Preferred Income Fund Inc
8530,SQM - María Elena
8531,"Pinnacle Financial Partners, Inc."
8532,Elenita
8533,Coirón
8534,Crawford & Company
8535,JM Global Holding Company
8536,"Adams Diversified Equity Fund, Inc."
8537,"National American University Holdings, Inc."
8538,Cordillera - Tenardita
8539,Alliance National Municipal Income Fund Inc
8540,iShares 20+ Year Treasury Bond ETF
8541,Tata Motors Ltd
8542,"Spark Energy, Inc."
8543,"UMH Properties, Inc."
8544,"Tootsie Roll Industries, Inc."
8545,"Ocular Therapeutix, Inc."
8546,Diana Shipping inc.
8547,Pure Cycle Corporation
8548,Janus Henderson Small Cap Growth Alpha ETF
8549,Chimborazo
8550,"Gabelli Equity Trust, Inc. (The)"
8551,Las Arenitas
8552,Choquelimpie
8553,Arlington Asset Investment Corp
8554,Celite - Tana
8555,Talcuna
8556,Colico Sur
8557,Cerro Bayo
8558,Caupolicán
8559,"LM Funding America, Inc."
8560,First Trust Emerging Markets Small Cap AlphaDEX Fund
8561,"Chunghwa Telecom Co., Ltd."
8562,"Kura Oncology, Inc."
8563,III de Atacama Kozan
8564,"Commercial Vehicle Group, Inc."
8565,El Salvador
8566,Laguna Siren
8567,Punitaqui
8568,Tres Valles
8569,"Vectrus, Inc."
8570,Patriot National Bancorp Inc.
8571,Hamilton Lane Incorporated
8572,Isla Riesco
8573,"Discovery Communications, Inc."
8574,SQM - Mapocho
8575,Tres Valles
8576,"NextEra Energy, Inc."
8577,Vina Concha Y Toro
8578,"Entergy Louisiana, Inc."
8579,La Coipa
8580,"Gray Television, Inc."
8581,"Waste Management, Inc."
8582,"Kura Oncology, Inc."
8583,Chimberos
8584,"Clear Channel Outdoor Holdings, Inc."
8585,"Appliance Recycling Centers of America, Inc."
8586,"Waste Management, Inc."
8587,"Impax Laboratories, Inc."
8588,Pupunahue
8589,Elkhorn Commodity Rotation Strategy ETF
8590,Chimberos
8591,STMicroelectronics N.V.
8592,Apollo Senior Floating Rate Fund Inc.
8593,Yahoo! Inc.
8594,"China Lodging Group, Limited"
8595,Peckett
8596,First Trust Senior Loan Fund ETF
8597,Elkhorn Commodity Rotation Strategy ETF
8598,"Kayne Anderson Energy Total Return Fund, Inc."
8599,Coirón
8600,"ILG, Inc"
8601,Chimborazo
8602,Arch Capital Group Ltd.
8603,Cabot Corporation
8604,Punta de Lobos - Kanita
8605,R.R. Donnelley & Sons Company
8606,SQM Salar
8607,BLDRS Asia 50 ADR Index Fund
8608,AdvisorShares Market Adaptive Unconstrained Income ETF
8609,"Biocept, Inc."
8610,Spence
8611,PrimeEnergy Corporation
8612,Nuveen Energy MLP Total Return Fund
8613,"Littelfuse, Inc."
8614,"Kura Oncology, Inc."
8615,PowerShares KBW High Dividend Yield Financial Portfolio
8616,VictoryShares US 500 Enhanced Volatility Wtd ETF
8617,Randgold Resources Limited
8618,Fair Isaac Corporation
8619,"Pinnacle Financial Partners, Inc."
8620,Arenal
8621,III de Atacama Minerals - Aguas Blancas
8622,KT Corporation
8623,La Productora
8624,Cosayach - Soledad
8625,Caupolicán
8626,Spence
8627,Royal Caribbean Cruises Ltd.
8628,Cóndor
8629,SL Green Realty Corporation
8630,Natl Westminster Pfd
8631,Great Plains Energy Inc
8632,"FairPoint Communications, Inc."
8633,"MiMedx Group, Inc"
8634,iPath US Treasury Long Bond Bear ETN
8635,"Nutanix, Inc."
8636,"Commercial Vehicle Group, Inc."
8637,Tata Motors Ltd
8638,Neff Corporation
8639,"PrivateBancorp, Inc."
8640,"First Financial Bankshares, Inc."
8641,Las Piedras
8642,Forum Merger Corporation
8643,Novelion Therapeutics Inc.
8644,Quiborax
8645,Cosayach - Cala Cala
8646,Altamira
8647,Fertón
8648,Mackinac Financial Corporation
8649,"China Lodging Group, Limited"
8650,iShares MSCI EM ESG Optimized ETF
8651,Colico Sur
8652,CMP - Los Colorados
8653,Chimberos
8654,Algorta
8655,Toll Brothers Inc.
8656,Cerro Bayo
8657,Kopin Corporation
8658,RenaissanceRe Holdings Ltd.
8659,Natl Westminster Pfd
8660,"Ulta Beauty, Inc."
8661,Punta de Lobos - Kanita
8662,PureFunds ETFx HealthTech ETF
8663,Quiborax - Ascotán
8664,Bronce de Petorca
8665,SQM - Pedro de Valdivia
8666,CMP - El Laco
8667,III de Atacama Kozan
8668,"Sportsman's Warehouse Holdings, Inc."
8669,Cabot Corporation
8670,AmerisourceBergen Corporation (Holding Co)
8671,Cerro Blanco
8672,Cambrex Corporation
8673,"Cyclacel Pharmaceuticals, Inc."
8674,"Meridian Waste Solutions, Inc"
8675,Inacesa - El Way
8676,DRDGOLD Limited
8677,"Adams Diversified Equity Fund, Inc."
8678,Del Fierro
8679,First Trust Emerging Markets Small Cap AlphaDEX Fund
8680,"Shutterstock, Inc."
8681,KT Corporation
8682,Forum Merger Corporation
8683,American Homes 4 Rent
8684,"Safe Bulkers, Inc"
8685,Silvercrest Asset Management Group Inc.
8686,Biglari Holdings Inc.
8687,Credit Acceptance Corporation
8688,West Corporation
8689,"HCA Healthcare, Inc."
8690,Torchmark Corporation
8691,Imax Corporation
8692,Las Piedras
8693,SAP SE
8694,Can Can
8695,"TC PipeLines, LP"
8696,B.O.S. Better Online Solutions
8697,Forum Merger Corporation
8698,La Pepa
8699,Corporate Asset Backed Corp CABCO
8700,BRF S.A.
8701,Linderos
8702,Escondida
8703,Aircastle Limited
8704,El Abra
8705,Faride
8706,Marine Petroleum Trust
8707,Nabriva Therapeutics AG
8708,"LM Funding America, Inc."
8709,"AMC Entertainment Holdings, Inc."
8710,Global Partner Acquisition Corp.
8711,Caserones
8712,"Midland States Bancorp, Inc."
8713,Lota
8714,3M Company
8715,PIMCO Dynamic Credit and Mortgage Income Fund
8716,Pinatolca
8717,"JA Solar Holdings, Co., Ltd."
8718,BRF S.A.
8719,Zaldívar
8720,Chimberos
8721,PureFunds ETFx HealthTech ETF
8722,Inacesa - El Jilguero
8723,"Ocular Therapeutix, Inc."
8724,Park-Ohio Holdings Corp.
8725,"India Fund, Inc. (The)"
8726,Northrop Grumman Corporation
8727,Double Eagle Acquisition Corp.
8728,The Community Financial Corporation
8729,"Discovery Communications, Inc."
8730,Inacesa - El Way
8731,Guaranty Bancorp
8732,Entercom Communications Corporation
8733,Arlington Asset Investment Corp
8734,PowerShares BuyBack Achievers Portfolio
8735,El Teniente
8736,"Cleveland BioLabs, Inc."
8737,"Zynerba Pharmaceuticals, Inc."
8738,Los Bronces
8739,"Hurco Companies, Inc."
8740,"Idera Pharmaceuticals, Inc."
8741,Cabot Corporation
8742,ENGlobal Corporation
8743,"Mirna Therapeutics, Inc."
8744,Guanaco
8745,Great Elm Capital Corp.
8746,"UMH Properties, Inc."
8747,iShares MSCI EM ESG Optimized ETF
8748,"Dupont Fabros Technology, Inc."
8749,B.O.S. Better Online Solutions
8750,Radomiro Tomic
8751,AdvisorShares Market Adaptive Unconstrained Income ETF
8752,El Peñón
8753,Radomiro Tomic
8754,"The Travelers Companies, Inc."
8755,Moog Inc.
8756,Cóndor
8757,Ojos del Salado
8758,Western Alliance Bancorporation
8759,Western Asset Bond Fund
8760,Applied DNA Sciences Inc
8761,Anheuser-Busch Inbev SA
8762,Delta
8763,Zion Oil & Gas Inc
8764,"Delcath Systems, Inc."
8765,AGCO Corporation
8766,"Diamond Hill Investment Group, Inc."
8767,"Vectrus, Inc."
8768,"Westbury Bancorp, Inc."
8769,Walter Investment Management Corp.
8770,"Blackhawk Network Holdings, Inc."
8771,PowerShares Golden Dragon China Portfolio
8772,Lota
8773,Navío
8774,Radomiro Tomic
8775,Randgold Resources Limited
8776,NVIDIA Corporation
8777,"Hurco Companies, Inc."
8778,"Dynex Capital, Inc."
8779,Pure Cycle Corporation
8780,Kilroy Realty Corporation
8781,CMP - Romeral
8782,Hamilton Lane Incorporated
8783,Ceragon Networks Ltd.
8784,Microsemi Corporation
8785,Western Asset Bond Fund
8786,United Insurance Holdings Corp.
8787,"Rush Enterprises, Inc."
8788,L.B. Foster Company
8789,Cerro Negro
8790,El Soldado
8791,"Herman Miller, Inc."
8792,Los Bronces
8793,"Apple Hospitality REIT, Inc."
8794,Dollar General Corporation
8795,Escondida
8796,Can Can
8797,El Volcán
8798,Toll Brothers Inc.
8799,Las Cenizas
8800,Fertón
8801,Fair Isaac Corporation
8802,Nuveen Energy MLP Total Return Fund
8803,SQM - Pedro de Valdivia
8804,Fidus Investment Corporation
8805,"Arista Networks, Inc."
8806,Franke
8807,First Trust International Multi-Asset Diversified Income Index
8808,Bed Bath & Beyond Inc.
8809,Peckett
8810,"Gabelli Equity Trust, Inc. (The)"
8811,Los Pelambres
8812,NVIDIA Corporation
8813,First Trust Multi-Asset Diversified Income Index Fund
8814,"Forterra, Inc."
8815,Navío
8816,"Edge Therapeutics, Inc."
8817,R.R. Donnelley & Sons Company
8818,"India Fund, Inc. (The)"
8819,Natl Westminster Pfd
8820,"Arista Networks, Inc."
8821,Silicon Motion Technology Corporation
8822,"UMH Properties, Inc."
8823,"Texas Capital Bancshares, Inc."
8824,Comcast Corporation
8825,Tres Valles
8826,El Guindo
8827,Bright Scholar Education Holdings Limited
8828,Peapack-Gladstone Financial Corporation
8829,"Western New England Bancorp, Inc."
8830,"Spark Energy, Inc."
8831,AmerisourceBergen Corporation (Holding Co)
8832,Applied DNA Sciences Inc
8833,"Avenue Therapeutics, Inc."
8834,El Morro
8835,"Discovery Communications, Inc."
8836,Bright Scholar Education Holdings Limited
8837,Peabody Energy Corporation
8838,Kite Realty Group Trust
8839,"FairPoint Communications, Inc."
8840,Eagle Bulk Shipping Inc.
8841,"China Lodging Group, Limited"
8842,Corporate Asset Backed Corp CABCO
8843,HollyFrontier Corporation
8844,Sierra Miranda
8845,"LM Funding America, Inc."
8846,"Zynerba Pharmaceuticals, Inc."
8847,"Appliance Recycling Centers of America, Inc."
8848,Cohen & Steers Reit and Preferred Income Fund Inc
8849,Chimberos
8850,CMP - Los Colorados
8851,AbbVie Inc.
8852,Ceragon Networks Ltd.
8853,Linderos
8854,CVS Health Corporation
8855,Galectin Therapeutics Inc.
8856,La Pepa
8857,El Soldado
8858,SQM Salar
8859,First Trust South Korea AlphaDEX Fund
8860,Drive Shack Inc.
8861,III de Atacama Minerals - Aguas Blancas
8862,Celite - Tana
8863,Nuveen Floating Rate Income Fund
8864,United Insurance Holdings Corp.
8865,Suncor EnergyInc.
8866,"Biocept, Inc."
8867,"HD Supply Holdings, Inc."
8868,DRDGOLD Limited
8869,Iván
8870,"Arista Networks, Inc."
8871,Nuveen Floating Rate Income Fund
8872,CVS Health Corporation
8873,Yahoo! Inc.
8874,United States Cellular Corporation
8875,Julia
8876,"Diamond Hill Investment Group, Inc."
8877,Flor de Los Andes
8878,Dollar General Corporation
8879,"OraSure Technologies, Inc."
8880,L.B. Foster Company
8881,SAP SE
8882,Microsemi Corporation
8883,Torchmark Corporation
8884,"SeaChange International, Inc."
8885,Dollar General Corporation
8886,Nabriva Therapeutics AG
8887,Yahoo! Inc.
8888,Royal Caribbean Cruises Ltd.
8889,"Universal Stainless & Alloy Products, Inc."
8890,"First Hawaiian, Inc."
8891,Antucoya
8892,Microsemi Corporation
8893,ACF - Lagunas
8894,"Apple Hospitality REIT, Inc."
8895,Manto Verde
8896,Zion Oil & Gas Inc
8897,BLDRS Developed Markets 100 ADR Index Fund
8898,"Taiwan Fund, Inc. (The)"
8899,"Delcath Systems, Inc."
8900,"OraSure Technologies, Inc."
8901,CMP - Boquerón Chañar
8902,Voya Global Equity Dividend and Premium Opportunity Fund
8903,El Salvador
8904,"XO Group, Inc."
8905,Great Plains Energy Inc
8906,"Diamond Hill Investment Group, Inc."
8907,Dorado
8908,Franke
8909,Urstadt Biddle Properties Inc.
8910,HollyFrontier Corporation
8911,"Sarepta Therapeutics, Inc."
8912,Carola
8913,Las Cenizas
8914,Bright Scholar Education Holdings Limited
8915,Choquelimpie
8916,"Gray Television, Inc."
8917,Unisys Corporation
8918,"India Fund, Inc. (The)"
8919,Crawford & Company
8920,AmerisourceBergen Corporation (Holding Co)
8921,"First Financial Bankshares, Inc."
8922,"Enanta Pharmaceuticals, Inc."
8923,SQM - Nueva Victoria
8924,PowerShares Nasdaq Internet Portfolio
8925,Novelion Therapeutics Inc.
8926,VictoryShares US 500 Enhanced Volatility Wtd ETF
8927,Dynatronics Corporation
8928,Diageo plc
8929,HollyFrontier Corporation
8930,SQM - Mapocho
8931,Carola
8932,Janus Henderson Small Cap Growth Alpha ETF
8933,Arenal
8934,"Arista Networks, Inc."
8935,"Kayne Anderson Energy Total Return Fund, Inc."
8936,Gladstone Commercial Corporation
8937,"Taiwan Fund, Inc. (The)"
8938,GlaxoSmithKline PLC
8939,SQM - Pampa Blanca
8940,Eagle Bulk Shipping Inc.
8941,"Avenue Therapeutics, Inc."
8942,Del Fierro
8943,Ojos del Salado
8944,China Cord Blood Corporation
8945,TICC Capital Corp.
8946,La Coipa
8947,SQM - Pampa Blanca
8948,Vina Concha Y Toro
8949,Unisys Corporation
8950,Algorta
8951,"HD Supply Holdings, Inc."
8952,PowerShares BuyBack Achievers Portfolio
8953,Quiborax
8954,Tata Motors Ltd
8955,"Dynex Capital, Inc."
8956,Northern Trust Corporation
8957,Tekla Healthcare Opportunies Fund
8958,United Microelectronics Corporation
8959,Peckett
8960,Arenal
8961,"Dynex Capital, Inc."
8962,Escondida
8963,AdvisorShares Market Adaptive Unconstrained Income ETF
8964,Westpac Banking Corporation
8965,"First Financial Bankshares, Inc."
8966,Nuveen Michigan Quality Municipal Income Fund
8967,Ojos del Salado
8968,Andacollo Cobre
8969,"PDF Solutions, Inc."
8970,"Tootsie Roll Industries, Inc."
8971,First Trust Senior Loan Fund ETF
8972,"Under Armour, Inc."
8973,"Pepsico, Inc."
8974,Independence Holding Company
8975,Abeona Therapeutics Inc.
8976,Eaton Vance Corporation
8977,Algorta
8978,"Pepsico, Inc."
8979,Vina Concha Y Toro
8980,Esterline Technologies Corporation
8981,"Idera Pharmaceuticals, Inc."
8982,"Discovery Communications, Inc."
8983,Diageo plc
8984,"Gabelli Equity Trust, Inc. (The)"
8985,Nuveen Municipal High Income Opportunity Fund
8986,Northern Trust Corporation
8987,Sierra Gorda
8988,Check-Cap Ltd.
8989,"National American University Holdings, Inc."
8990,Vina Concha Y Toro
8991,SAP SE
8992,Kite Realty Group Trust
8993,Inseego Corp.
8994,Vina Concha Y Toro
8995,PTC Inc.
8996,PowerShares Golden Dragon China Portfolio
8997,Western Asset Bond Fund
8998,"Silicon Laboratories, Inc."
8999,"Westbury Bancorp, Inc."
9000,SL Green Realty Corporation
9001,"First Financial Bankshares, Inc."
9002,Guanaco
9003,Central Garden & Pet Company
9004,Imax Corporation
9005,HollyFrontier Corporation
9006,Abeona Therapeutics Inc.
9007,Global Partner Acquisition Corp.
9008,ACF - Lagunas
9009,El Salvador
9010,Lions Gate Entertainment Corporation
9011,Cabot Corporation
9012,Nuveen Connecticut Quality Municipal Income Fund
9013,"support.com, Inc."
9014,PIMCO Dynamic Credit and Mortgage Income Fund
9015,Peckett
9016,Great Plains Energy Inc
9017,"Sarepta Therapeutics, Inc."
9018,Marte Lobo
9019,El Tofo
9020,Array BioPharma Inc.
9021,Jazz Pharmaceuticals plc
9022,PowerShares Nasdaq Internet Portfolio
9023,The9 Limited
9024,Western Asset Bond Fund
9025,"Western Refining Logistics, LP"
9026,"Cyclacel Pharmaceuticals, Inc."
9027,Refugio
9028,"SeaChange International, Inc."
9029,Peckett
9030,"Vectrus, Inc."
9031,Pascua
9032,"Zynerba Pharmaceuticals, Inc."
9033,Caupolicán
9034,Nuveen Energy MLP Total Return Fund
9035,Intracampos
9036,"The Travelers Companies, Inc."
9037,Lenga
9038,Sierra Gorda
9039,"PDF Solutions, Inc."
9040,Peapack-Gladstone Financial Corporation
9041,Eagle Bulk Shipping Inc.
9042,Bed Bath & Beyond Inc.
9043,PowerShares Nasdaq Internet Portfolio
9044,Entegra Financial Corp.
9045,Central Garden & Pet Company
9046,Natl Westminster Pfd
9047,SQM - Yumbes
9048,China Cord Blood Corporation
9049,TICC Capital Corp.
9050,"Pepsico, Inc."
9051,Imax Corporation
9052,R.R. Donnelley & Sons Company
9053,CMP - Cerro Negro Norte
9054,Cambrex Corporation
9055,"Ellie Mae, Inc."
9056,HollyFrontier Corporation
9057,"HCA Healthcare, Inc."
9058,Salesforce.com Inc
9059,"HD Supply Holdings, Inc."
9060,NVIDIA Corporation
9061,Northrop Grumman Corporation
9062,"Safe Bulkers, Inc"
9063,Imax Corporation
9064,Bright Scholar Education Holdings Limited
9065,Laguna Siren
9066,Georgia Power Company
9067,CMP - El Laco
9068,Microsemi Corporation
9069,Bronce de Petorca
9070,Fidus Investment Corporation
9071,La Productora
9072,Intracampos
9073,Inacesa - El Way
9074,Northrop Grumman Corporation
9075,Sierra Miranda
9076,Carola
9077,Arch Capital Group Ltd.
9078,BlackRock Municipal Target Term Trust Inc. (The)
9079,"Adams Diversified Equity Fund, Inc."
9080,Spence
9081,"Diamond Hill Investment Group, Inc."
9082,Peckett
9083,Los Bronces
9084,"Portola Pharmaceuticals, Inc."
9085,Navío
9086,Sierra Gorda
9087,Tranquilo
9088,SQM Salar
9089,Texas Pacific Land Trust
9090,El Soldado
9091,Andina
9092,Julia
9093,Talcuna
9094,Schwager
9095,Vanguard Russell 3000 ETF
9096,"LM Funding America, Inc."
9097,Credit Acceptance Corporation
9098,Incyte Corporation
9099,Carvana Co.
9100,Moog Inc.
9101,Eagle Bulk Shipping Inc.
9102,Celgene Corporation
9103,Mantos de la Luna
9104,The Community Financial Corporation
9105,Choquelimpie
9106,"TC PipeLines, LP"
9107,Clifton Bancorp Inc.
9108,Pinatolca
9109,Del Fierro
9110,Algorta
9111,Western Alliance Bancorporation
9112,First Trust South Korea AlphaDEX Fund
9113,"Western New England Bancorp, Inc."
9114,Silicon Motion Technology Corporation
9115,Azul S.A.
9116,Quiborax - Ascotán
9117,Nuveen Energy MLP Total Return Fund
9118,"Kayne Anderson Energy Total Return Fund, Inc."
9119,San Gerónimo
9120,Pupunahue
9121,Garrison Capital Inc.
9122,Special Opportunities Fund Inc.
9123,Candelaria
9124,Novelion Therapeutics Inc.
9125,Linderos
9126,Novanta Inc.
9127,SAP SE
9128,"PDF Solutions, Inc."
9129,PowerShares BuyBack Achievers Portfolio
9130,Punta de Lobos - Kanita
9131,PrimeEnergy Corporation
9132,"Everspin Technologies, Inc."
9133,Lota
9134,"Cyclacel Pharmaceuticals, Inc."
9135,Sierra Gorda
9136,"FairPoint Communications, Inc."
9137,Natl Westminster Pfd
9138,"LTC Properties, Inc."
9139,Tranquilo
9140,Haldeman - Sagasca
9141,"H&R Block, Inc."
9142,E*TRADE Financial Corporation
9143,Zaldívar
9144,Quebrada Blanca
9145,"Xenia Hotels & Resorts, Inc."
9146,"Cogentix Medical, Inc."
9147,"First Hawaiian, Inc."
9148,Jerónimo
9149,Kamada Ltd.
9150,"International Seaways, Inc."
9151,ENGlobal Corporation
9152,Inseego Corp.
9153,Double Eagle Acquisition Corp.
9154,Vanguard Russell 3000 ETF
9155,III de Atacama Kozan
9156,Global Partner Acquisition Corp.
9157,"Sierra Oncology, Inc."
9158,"Hurco Companies, Inc."
9159,AdvisorShares Market Adaptive Unconstrained Income ETF
9160,"MasTec, Inc."
9161,"Enanta Pharmaceuticals, Inc."
9162,Los Pelambres
9163,"Spark Energy, Inc."
9164,PowerShares KBW High Dividend Yield Financial Portfolio
9165,Tekla Healthcare Opportunies Fund
9166,CMP - Cerro Negro Norte
9167,Lomas Bayas
9168,Quebrada Blanca
9169,La Perla
9170,Vina Concha Y Toro
9171,"SeaChange International, Inc."
9172,Isla Guarello
9173,China Cord Blood Corporation
9174,Peabody Energy Corporation
9175,Navío
9176,American Homes 4 Rent
9177,First Trust South Korea AlphaDEX Fund
9178,"India Fund, Inc. (The)"
9179,"Aspen Technology, Inc."
